ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,interesting_reject_flag,interesting_reject_bucket,interesting_reject_note,interesting_rule_id
2026-03-21 01:21:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,27.62,41.25,0.67,70768.809045,70288.0,,2026-03-21 01:21:00,87223.96,-2.864e-05,0.0,0.0,2026-03-21.jsonl,True,3906.7579999999994,-521.9060000000027,-42.9369999999999,-42.40000000000873,-135.3000000000029,480.8090450000018,480.8090450000018,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-21 05:10:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,49.99,52.23,0.957,70738.734168,70325.0,,2026-03-21 05:10:00,87362.79,-1.359e-05,0.0,0.0,2026-03-21.jsonl,True,2546.9120000000007,31.87300000000323,-24.16599999999653,4.19999999999709,-93.19999999999709,413.7341679999954,413.7341679999954,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-21 09:10:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-60.36,61.97,0.974,70700.807884,70348.0,,2026-03-21 09:10:00,87404.92,3.32e-06,0.0,0.0,2026-03-21.jsonl,True,1341.3450000000066,-804.9889999999973,-709.7229999999995,126.19999999999709,15.5,352.8078839999944,352.8078839999944,above,1,possible_reversal_onset,direction_mismatch with supportive 60m flow but weak/contrary 15m return,IR_A1
2026-03-21 09:15:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-95.27,110.86,0.859,70692.500855,70350.0,,2026-03-21 09:15:00,87479.15,4.48e-06,0.0,0.0,2026-03-21.jsonl,True,1097.2830000000067,-909.2029999999968,-736.9049999999988,128.40000000000873,30.90000000000873,342.5008550000057,342.5008550000057,above,1,possible_reversal_onset,vwap_side reject near VWAP with directional cumulative buildup,IR_A2
2026-03-21 09:25:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,189.36,211.96,0.893,70592.814073,70354.0,,2026-03-21 09:25:00,87449.21,6.76e-06,0.0,0.0,2026-03-21.jsonl,True,1367.8860000000068,-1021.2619999999965,-386.0919999999992,-70.89999999999418,53.10000000000582,238.81407300000137,238.81407300000137,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-21 09:40:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-150.81,161.9,0.932,70605.222625,70351.0,,2026-03-21 09:40:00,87356.49,6.83e-06,0.0,0.0,2026-03-21.jsonl,True,1479.4610000000062,-1048.1709999999966,-279.3389999999995,41.69999999999709,74.10000000000582,254.22262499999488,254.22262499999488,above,1,possible_reversal_onset,direction_mismatch with supportive 60m flow but weak/contrary 15m return,IR_A1
2026-03-21 11:30:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-169.51,190.01,0.892,70574.138293,70293.0,,2026-03-21 11:30:00,87388.18,1.78e-05,0.002,0.008,2026-03-21.jsonl,True,1259.5870000000054,-134.37800000000016,-121.4660000000008,45.0,32.10000000000582,281.13829299999634,281.13829299999634,above,1,possible_reversal_onset,vwap_side reject near VWAP with directional cumulative buildup,IR_A2
2026-03-21 15:12:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,44.36,54.44,0.815,70868.273588,70288.0,,2026-03-21 15:12:00,87272.55,8.72e-06,0.0,0.0,2026-03-21.jsonl,True,2880.9519999999993,693.9209999999939,-8.891000000000531,7.19999999999709,-284.6000000000058,580.2735879999964,580.2735879999964,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-21 15:20:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,107.43,123.14,0.872,70987.872411,70303.0,,2026-03-21 15:20:00,87189.8,8.99e-06,0.0,0.0,2026-03-21.jsonl,True,2435.2499999999986,324.8499999999931,-855.5620000000008,-127.39999999999418,-500.3999999999942,684.8724110000039,684.8724110000039,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-21 15:52:00,2026-03-21,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-98.84,111.77,0.884,70755.448675,70322.0,,2026-03-21 15:52:00,87235.64,9.68e-06,0.0,0.0,2026-03-21.jsonl,True,954.3229999999971,179.37299999999232,-654.8810000000012,-45.5,-139.10000000000582,433.4486750000069,433.4486750000069,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
