target,family,feature,provenance,group1,group2,n_group1,n_group2,group1_count,group1_missing,group1_mean,group1_median,group1_min,group1_q1,group1_q3,group1_max,group1_std,group2_count,group2_missing,group2_mean,group2_median,group2_min,group2_q1,group2_q3,group2_max,group2_std,median_difference_group2_minus_group1,hedges_g,rank_biserial_group2_vs_group1,iqr_overlap_ratio,range_overlap_ratio
B,TEMPORAL_MARKET,seg_240_60_delta,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-662.49025,-538.5975,-1679.365,-951.205,-249.88275,106.599,755.8560012706896,6,0,-319.47583333333336,-472.735,-1010.307,-788.5127500000001,34.37675,729.28,664.2943918834229,65.86249999999995,0.442577227417833,0.08333333333333326,0.546509713679256,0.46370718806631944
B,TEMPORAL_MARKET,seg_240_60_delta_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-0.023948851550000004,-0.0330638486,-0.0603762976,-0.04298765185,-0.014025048299999999,0.0307085886,0.038792760911090095,6,0,-0.023371535500000002,-0.03175158845,-0.0759967264,-0.052605061475,0.008097753700000002,0.0374460417,0.04380496824384024,0.0013122601500000011,0.01241671390978874,0.0,0.47712125815753,0.8029148770392178
B,TEMPORAL_MARKET,seg_240_60_directional_delta,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,715.78975,538.5975,106.599,303.18224999999995,951.205,1679.365,688.0184940660511,6,0,202.14516666666665,416.758,-1010.307,-105.34174999999999,760.02175,794.594,717.4465880471986,-121.83949999999999,-0.6566187183263238,-0.25,0.4323892908666844,0.25579141248449627
B,TEMPORAL_MARKET,seg_240_60_directional_delta_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,0.039303145850000006,0.0339500126,0.0289362606,0.0302655066,0.04298765185,0.0603762976,0.014489947834565163,6,0,0.016349669800000004,0.02751090455,-0.0557511188,-0.0108582737,0.041736677550000004,0.0759967264,0.047471840134066065,-0.006439108050000003,-0.5375975813456408,-0.16666666666666663,0.2130369351595258,0.23863795990190514
B,TEMPORAL_MARKET,seg_240_60_directional_price_change_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,0.088157454475,0.0138935859,-0.0885445669,-0.019010912574999997,0.12106195295,0.413387213,0.22227419895842504,6,0,-0.23605814263333333,-0.17379314145000002,-1.3031258833,-0.21689264322500001,0.023688140674999997,0.3761072195,0.5697460944933808,-0.18768672735000003,-0.6223472681331955,-0.5,0.12634553201309184,0.270695159507709
B,TEMPORAL_MARKET,seg_240_60_high,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63467.075000000004,63177.25,60758.3,61650.125,64994.2,66755.5,2667.3495013777238,6,0,71115.95000000001,70719.7,63209.6,64093.350000000006,77558.45,80324.1,8029.233771599878,7542.449999999997,1.05404024583293,0.5,0.05662758335651248,0.18122949227734111
B,TEMPORAL_MARKET,seg_240_60_low,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62878.9,62818.8,59552.6,60941.6,64756.1,66325.4,2997.208770395103,6,0,70499.93333333333,70187.8,62272.1,63940.375,77015.35,79202.8,7853.28144017943,7369.0,1.0632258083696318,0.5,0.050748891826736024,0.20627270969252195
B,TEMPORAL_MARKET,seg_240_60_open_interest_change,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,26.695,134.41,-572.13,-61.44749999999999,222.55249999999998,410.09,420.35776147626126,6,0,-107.50499999999998,-86.04,-416.39,-357.03,107.24249999999999,219.13,275.78361189526834,-220.45,-0.3593199354865081,-0.25,0.29105433652672397,0.6470240882897925
B,TEMPORAL_MARKET,seg_240_60_price_change_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-0.07634735467499999,0.0097266137,-0.413387213,-0.10647203239999999,0.039851291425,0.0885445669,0.22802684887412883,6,0,-0.29467881423333325,-0.1848914338,-1.3031258833,-0.337690861975,0.023688140674999997,0.2002452047,0.5359813653151603,-0.1946180475,-0.44201378339828223,-0.16666666666666663,0.34475666333633836,0.33387084792733485
B,TEMPORAL_MARKET,seg_240_60_price_close,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63164.225,63099.2,59993.1,61371.9,64891.525,66465.4,2838.80099264343,6,0,70719.68333333333,70395.15,62848.7,64005.950000000004,77255.65,79260.4,7823.287874906983,7295.949999999997,1.0622250648042837,0.5,0.05575352168096309,0.18771182262174763
B,TEMPORAL_MARKET,seg_240_60_price_open,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63216.350000000006,63064.25,59995.6,61331.5,64949.1,66741.3,2952.954841623331,6,0,70957.55,70527.95,62723.1,63990.875,77517.65,80306.9,8150.88545490611,7463.699999999997,1.0447184154576143,0.5,0.05920030396357373,0.19783076415591347
B,TEMPORAL_MARKET,seg_240_60_rows_expected,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,6,0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_240_60_rows_used,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,6,0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_240_60_total_qty,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,18275.639249999997,12238.3165,3471.309,9668.694,20845.261749999998,45154.615,18394.3265510048,6,0,16592.849166666667,14128.645,2783.632,8995.282000000001,18336.049750000002,41493.494,13577.235916325759,1890.3284999999996,-0.09768622434463427,-0.08333333333333337,0.7314236760615566,0.8973637689736865
B,TEMPORAL_MARKET,seg_5_0_delta,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-399.6035,-459.3935,-793.924,-653.101,-205.89600000000002,114.297,395.73260326681867,6,0,264.2225,183.235,-739.45,-158.58675,270.39575,1931.393,904.2244173714289,642.6285,0.7943504600821603,0.6666666666666667,0.0,0.3132652091481468
B,TEMPORAL_MARKET,seg_5_0_delta_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-0.06303246742500002,-0.20559567210000002,-0.3286431812,-0.2788080995,0.010179959975000014,0.4877046557,0.374573646866209,6,0,0.024608444150000002,0.1536573645,-0.4638181554,-0.15136574872499997,0.23437316835,0.2959157748,0.30848953250253386,0.3592530366,0.23643604419214392,0.16666666666666674,0.3147926840291818,0.656378332410112
B,TEMPORAL_MARKET,seg_5_0_directional_delta,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,456.752,459.3935,114.297,263.0445,653.101,793.924,302.2444654569101,6,0,601.2021666666666,284.95,180.12,207.63475,629.19025,1931.393,683.8604961047002,-174.44350000000003,0.22831850738374046,-0.08333333333333337,0.821938250091898,0.3377939305353157
B,TEMPORAL_MARKET,seg_5_0_directional_delta_pct,direction_sign_only,MIXED,STRONG_FAVORABLE,4,6,4,0,0.306884795275,0.2954197934,0.1489949386,0.23389603885000002,0.36840854982500004,0.4877046557,0.14153386908531165,6,0,0.2626189449833333,0.25433250534999996,0.1451770464,0.184156598725,0.28654974699999997,0.4638181554,0.11458634288090988,-0.04108728805000006,-0.3189066993790241,-0.33333333333333337,0.2857701524225539,0.9191177827778102
