ts,day,open,high,low,close,buy_qty,sell_qty,vol_1m,delta_1m,imbalance_1m,vwap,open_interest,funding_rate,liq_buy_qty,liq_sell_qty,is_synthetic,source_file
2026-03-31 00:00:00,2026-03-31,66717.1,66769.1,66717.0,66764.6,74.223,18.937,93.16,55.286,0.5934521253756978,66745.19,89922.31,9.3e-07,0.114,0.0,False,2026-03-31.csv
2026-03-31 00:01:00,2026-03-31,66764.4,66792.4,66671.3,66685.0,130.229,313.616,443.845,-183.38699999999997,-0.41317802385968067,66740.12,89939.75,1.16e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:02:00,2026-03-31,66684.9,66710.1,66670.1,66678.1,22.07,41.792,63.862,-19.722,-0.3088221477560991,66694.09,89878.47,1.13e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:03:00,2026-03-31,66678.0,66757.2,66678.0,66701.2,28.118,62.08,90.198,-33.962,-0.3765271957249607,66704.57,89889.43,1.13e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:04:00,2026-03-31,66701.2,66714.5,66685.7,66696.0,25.595,37.746,63.341,-12.151000000000003,-0.1918346726448904,66698.78,89898.93,1.11e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:05:00,2026-03-31,66696.1,66785.8,66680.0,66785.4,40.066,29.272,69.338,10.794000000000004,0.1556722143701867,66722.73,89907.84,1.01e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:06:00,2026-03-31,66785.5,66785.5,66710.8,66710.9,10.385,40.797,51.182,-30.412,-0.5941932710718612,66737.41,89924.1,6.2e-07,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:07:00,2026-03-31,66710.9,66721.2,66697.0,66705.3,51.321,11.47,62.791,39.851,0.6346610182988008,66703.82,89936.93,6.2e-07,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:08:00,2026-03-31,66705.2,66714.8,66689.9,66692.5,11.101,15.776,26.877,-4.674999999999999,-0.17394054395951927,66696.9,89960.4,-1.9e-07,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:09:00,2026-03-31,66692.5,66700.1,66645.3,66672.7,28.216,54.907,83.123,-26.690999999999995,-0.3211024626156418,66667.81,89968.28,-1.47e-06,0.0,0.002,False,2026-03-31.csv
2026-03-31 00:10:00,2026-03-31,66672.7,66686.9,66660.7,66668.9,17.211,34.808,52.019,-17.597,-0.3382802437570888,66670.54,89991.21,-2.57e-06,0.034,0.057,False,2026-03-31.csv
2026-03-31 00:11:00,2026-03-31,66668.9,66680.1,66642.6,66649.8,28.185,15.407,43.592,12.777999999999999,0.29312717929895393,66660.91,89985.97,-2.57e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:12:00,2026-03-31,66649.8,66649.9,66555.0,66575.5,27.232,79.055,106.287,-51.82300000000001,-0.48757609114943506,66603.05,89990.05,-3.16e-06,0.0,0.03,False,2026-03-31.csv
2026-03-31 00:13:00,2026-03-31,66575.6,66591.8,66525.6,66556.4,52.695,61.195,113.89,-8.5,-0.07463341821055404,66544.44,89960.37,-4e-06,0.0,0.006,False,2026-03-31.csv
2026-03-31 00:14:00,2026-03-31,66556.4,66608.3,66548.6,66602.6,29.857,34.307,64.164,-4.450000000000003,-0.06935353157533825,66577.03,89982.37,-5.12e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:15:00,2026-03-31,66602.6,66629.7,66602.6,66613.7,16.279,21.283,37.562,-5.004000000000001,-0.13321974335764872,66621.01,89999.0,-5.12e-06,0.0,0.0,False,2026-03-31.csv
2026-03-31 00:16:00,2026-03-31,66613.8,66640.1,66600.1,66613.3,37.17,19.0,56.17,18.17,0.3234822859177497,66611.85,90006.23,-4.99e-06,0.0,0.0,False,2026-03-31.csv
