ts,day,open,high,low,close,delta_1m,vol_1m,vwap,source_file,delta_sign,price_move_sign,price_vs_vwap_side,reference_direction,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,upside_max_5m,downside_max_5m,upside_max_15m,downside_max_15m,upside_max_30m,downside_max_30m,upside_max_60m,downside_max_60m,favorable_max_5m,adverse_max_5m,favorable_max_15m,adverse_max_15m,favorable_max_30m,adverse_max_30m,favorable_max_60m,adverse_max_60m,up_hit_10bp_5m_flag,down_hit_10bp_5m_flag,up_time_to_hit_10bp_5m_min,down_time_to_hit_10bp_5m_min,up_before_down_10bp_5m_flag,down_before_up_10bp_5m_flag,both_hit_10bp_5m_flag,up_hit_10bp_15m_flag,down_hit_10bp_15m_flag,up_time_to_hit_10bp_15m_min,down_time_to_hit_10bp_15m_min,up_before_down_10bp_15m_flag,down_before_up_10bp_15m_flag,both_hit_10bp_15m_flag,up_hit_10bp_30m_flag,down_hit_10bp_30m_flag,up_time_to_hit_10bp_30m_min,down_time_to_hit_10bp_30m_min,up_before_down_10bp_30m_flag,down_before_up_10bp_30m_flag,both_hit_10bp_30m_flag,up_hit_10bp_60m_flag,down_hit_10bp_60m_flag,up_time_to_hit_10bp_60m_min,down_time_to_hit_10bp_60m_min,up_before_down_10bp_60m_flag,down_before_up_10bp_60m_flag,both_hit_10bp_60m_flag,up_hit_25bp_5m_flag,down_hit_25bp_5m_flag,up_time_to_hit_25bp_5m_min,down_time_to_hit_25bp_5m_min,up_before_down_25bp_5m_flag,down_before_up_25bp_5m_flag,both_hit_25bp_5m_flag,up_hit_25bp_15m_flag,down_hit_25bp_15m_flag,up_time_to_hit_25bp_15m_min,down_time_to_hit_25bp_15m_min,up_before_down_25bp_15m_flag,down_before_up_25bp_15m_flag,both_hit_25bp_15m_flag,up_hit_25bp_30m_flag,down_hit_25bp_30m_flag,up_time_to_hit_25bp_30m_min,down_time_to_hit_25bp_30m_min,up_before_down_25bp_30m_flag,down_before_up_25bp_30m_flag,both_hit_25bp_30m_flag,up_hit_25bp_60m_flag,down_hit_25bp_60m_flag,up_time_to_hit_25bp_60m_min,down_time_to_hit_25bp_60m_min,up_before_down_25bp_60m_flag,down_before_up_25bp_60m_flag,both_hit_25bp_60m_flag,up_hit_50bp_5m_flag,down_hit_50bp_5m_flag,up_time_to_hit_50bp_5m_min,down_time_to_hit_50bp_5m_min,up_before_down_50bp_5m_flag,down_before_up_50bp_5m_flag,both_hit_50bp_5m_flag,up_hit_50bp_15m_flag,down_hit_50bp_15m_flag,up_time_to_hit_50bp_15m_min,down_time_to_hit_50bp_15m_min,up_before_down_50bp_15m_flag,down_before_up_50bp_15m_flag,both_hit_50bp_15m_flag,up_hit_50bp_30m_flag,down_hit_50bp_30m_flag,up_time_to_hit_50bp_30m_min,down_time_to_hit_50bp_30m_min,up_before_down_50bp_30m_flag,down_before_up_50bp_30m_flag,both_hit_50bp_30m_flag,up_hit_50bp_60m_flag,down_hit_50bp_60m_flag,up_time_to_hit_50bp_60m_min,down_time_to_hit_50bp_60m_min,up_before_down_50bp_60m_flag,down_before_up_50bp_60m_flag,both_hit_50bp_60m_flag
2026-04-02 00:00:00,2026-04-02,68071.2,68086.5,68063.1,68086.5,1.1760000000000002,19.754,68072.64,2026-04-02.csv,positive,up,above,up,8.60000000000582,90.80000000000291,92.5,478.6000000000058,41.89999999999418,73.19999999999709,113.10000000000582,73.19999999999709,158.3000000000029,73.19999999999709,552.6000000000058,73.19999999999709,41.89999999999418,73.19999999999709,113.10000000000582,73.19999999999709,158.3000000000029,73.19999999999709,552.6000000000058,73.19999999999709,False,True,,4.0,False,False,False,True,True,11.0,4.0,False,True,True,True,True,11.0,4.0,False,True,True,True,True,11.0,4.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,35.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,42.0,,False,False,False
2026-04-02 00:01:00,2026-04-02,68086.4,68086.5,68037.2,68053.5,-15.947999999999997,72.518,68058.24,2026-04-02.csv,negative,down,below,down,42.89999999999418,100.5,124.19999999999709,312.0,74.89999999999418,40.19999999999709,146.10000000000582,40.19999999999709,191.3000000000029,40.19999999999709,585.6000000000058,40.19999999999709,40.19999999999709,74.89999999999418,40.19999999999709,146.10000000000582,40.19999999999709,191.3000000000029,40.19999999999709,585.6000000000058,True,False,4.0,,False,False,False,True,False,4.0,,False,False,False,True,False,4.0,,False,False,False,True,False,4.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,22.0,,False,False,False,True,False,22.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,40.0,,False,False,False
2026-04-02 00:02:00,2026-04-02,68053.5,68085.5,68053.5,68077.3,4.277,20.247,68075.09,2026-04-02.csv,positive,up,above,up,36.59999999999127,103.69999999999709,120.80000000000291,246.6999999999971,65.0,64.0,122.30000000000291,64.0,167.5,64.0,561.8000000000029,64.0,65.0,64.0,122.30000000000291,64.0,167.5,64.0,561.8000000000029,64.0,False,False,,,False,False,False,True,False,9.0,,False,False,False,True,False,9.0,,False,False,False,True,False,9.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,33.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,40.0,,False,False,False
2026-04-02 00:03:00,2026-04-02,68077.2,68082.1,68028.0,68057.3,-9.770000000000001,35.162,68051.45,2026-04-02.csv,negative,down,above,down,59.39999999999418,66.69999999999709,154.0,282.8000000000029,85.0,44.0,142.3000000000029,44.0,187.5,44.0,581.8000000000029,44.0,44.0,85.0,44.0,142.3000000000029,44.0,187.5,44.0,581.8000000000029,True,False,2.0,,False,False,False,True,False,2.0,,False,False,False,True,False,2.0,,False,False,False,True,False,2.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,21.0,,False,False,False,True,False,21.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,38.0,,False,False,False
2026-04-02 00:04:00,2026-04-02,68057.2,68064.6,68013.3,68039.9,4.785000000000004,87.633,68041.84,2026-04-02.csv,positive,down,below,down,97.70000000001164,133.10000000000582,185.10000000000582,143.40000000000873,102.40000000000873,0.0,177.40000000000873,0.0,204.90000000000873,0.0,599.2000000000116,0.0,0.0,102.40000000000873,0.0,177.40000000000873,0.0,204.90000000000873,0.0,599.2000000000116,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,False,False,,,False,False,False,True,False,15.0,,False,False,False,True,False,15.0,,False,False,False,True,False,15.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,37.0,,False,False,False
2026-04-02 00:05:00,2026-04-02,68039.9,68128.4,68039.9,68095.1,44.785,74.801,68092.69,2026-04-02.csv,positive,up,above,up,26.89999999999418,72.5,169.29999999998836,-9.0,49.89999999999418,40.10000000000582,122.19999999999709,40.10000000000582,172.89999999999418,40.10000000000582,544.0,68.70000000001164,49.89999999999418,40.10000000000582,122.19999999999709,40.10000000000582,172.89999999999418,40.10000000000582,544.0,68.70000000001164,False,False,,,False,False,False,True,False,6.0,,False,False,False,True,False,6.0,,False,False,False,True,True,6.0,60.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,True,False,30.0,,False,False,False,True,False,30.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,False,37.0,,False,False,False
2026-04-02 00:06:00,2026-04-02,68095.1,68096.5,68055.0,68096.4,0.8840000000000003,22.14,68077.93,2026-04-02.csv,positive,up,above,up,60.70000000001164,114.5,141.60000000000582,-361.0,81.60000000000582,17.89999999999418,120.90000000000873,17.89999999999418,171.60000000000582,17.89999999999418,542.7000000000116,498.3999999999942,81.60000000000582,17.89999999999418,120.90000000000873,17.89999999999418,171.60000000000582,17.89999999999418,542.7000000000116,498.3999999999942,True,False,5.0,,False,False,False,True,False,5.0,,False,False,False,True,False,5.0,,False,False,False,True,True,5.0,59.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,True,False,29.0,,False,False,False,True,True,29.0,60.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,36.0,60.0,True,False,True
2026-04-02 00:07:00,2026-04-02,68096.3,68142.3,68078.5,68113.9,42.526999999999994,89.661,68109.21,2026-04-02.csv,positive,up,above,up,36.20000000001164,55.60000000000582,102.60000000000582,-327.29999999998836,80.80000000000291,31.79999999998836,104.0,31.79999999998836,154.10000000000582,31.79999999998836,525.2000000000116,515.8999999999942,80.80000000000291,31.79999999998836,104.0,31.79999999998836,154.10000000000582,31.79999999998836,525.2000000000116,515.8999999999942,True,False,5.0,,False,False,False,True,False,5.0,,False,False,False,True,False,5.0,,False,False,False,True,True,5.0,58.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,33.0,59.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,35.0,59.0,True,False,True
2026-04-02 00:08:00,2026-04-02,68114.0,68138.5,68082.1,68116.7,-0.6789999999999985,52.965,68113.9,2026-04-02.csv,negative,up,above,up,6.400000000008731,101.10000000000582,131.3000000000029,-137.8000000000029,78.0,12.30000000000291,109.5,16.69999999999709,151.3000000000029,16.69999999999709,522.4000000000087,518.6999999999971,78.0,12.30000000000291,109.5,16.69999999999709,151.3000000000029,16.69999999999709,522.4000000000087,518.6999999999971,True,False,4.0,,False,False,False,True,False,4.0,,False,False,False,True,False,4.0,,False,False,False,True,True,4.0,57.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,32.0,58.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,34.0,58.0,True,False,True
2026-04-02 00:09:00,2026-04-02,68116.7,68137.7,68104.4,68137.6,7.765,19.865,68126.39,2026-04-02.csv,positive,up,above,up,53.19999999999709,40.5,79.0,3.1999999999970896,57.79999999998836,32.0,100.39999999999418,37.60000000000582,130.39999999999418,37.60000000000582,501.5,539.6000000000058,57.79999999998836,32.0,100.39999999999418,37.60000000000582,130.39999999999418,37.60000000000582,501.5,539.6000000000058,False,False,,,False,False,False,True,False,10.0,,False,False,False,True,False,10.0,,False,False,False,True,True,10.0,56.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,31.0,57.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,True,True,36.0,57.0,True,False,True
