ts,day,open,high,low,close,buy_qty,sell_qty,vol_1m,delta_1m,imbalance_1m,vwap,open_interest,funding_rate,liq_buy_qty,liq_sell_qty,is_synthetic,source_file
2026-04-01 00:00:00,2026-04-01,68255.1,68276.8,68234.4,68241.4,18.566,35.122,53.688,-16.556,-0.3083743108329608,68255.22,89202.55,-3.423e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:01:00,2026-04-01,68241.5,68241.5,68171.0,68171.0,28.986,89.783,118.769,-60.797,-0.511892833988667,68204.77,89227.22,-3.449e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:02:00,2026-04-01,68171.0,68176.5,68072.5,68122.5,80.462,205.642,286.104,-125.17999999999999,-0.4375332047087772,68115.69,89194.84,-3.497e-05,0.0,0.273,False,2026-04-01.csv
2026-04-01 00:03:00,2026-04-01,68122.6,68148.4,68100.0,68148.3,23.7,30.571,54.271,-6.871000000000002,-0.12660536935011335,68123.46,89196.95,-3.497e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:04:00,2026-04-01,68148.3,68199.9,68148.3,68151.3,59.074,50.502,109.576,8.571999999999996,0.07822880922829813,68171.87,89202.41,-3.591e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:05:00,2026-04-01,68151.3,68170.7,68147.3,68163.0,22.919,19.583,42.502,3.336000000000002,0.07849042398004805,68156.91,89203.26,-3.582e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:06:00,2026-04-01,68163.0,68166.0,68100.0,68130.8,32.783,41.166,73.949,-8.382999999999996,-0.1133619115877158,68130.23,89200.4,-3.623e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:07:00,2026-04-01,68130.9,68187.7,68130.8,68185.0,21.618,36.056,57.674,-14.437999999999999,-0.2503381072927142,68165.69,89210.26,-3.623e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:08:00,2026-04-01,68185.1,68188.8,68152.9,68161.5,11.728,15.541,27.269,-3.8130000000000006,-0.13982910997836373,68166.92,89214.03,-3.657e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:09:00,2026-04-01,68161.4,68182.8,68161.4,68170.0,8.854,8.843,17.697,0.010999999999999233,0.0006215742781261927,68172.41,89216.57,-3.635e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:10:00,2026-04-01,68170.0,68170.1,68125.8,68125.8,7.428,24.713,32.141,-17.285,-0.5377866276718211,68156.63,89218.72,-3.635e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:11:00,2026-04-01,68125.8,68125.9,68071.2,68080.4,10.096,71.954,82.05,-61.85799999999999,-0.7539061547836684,68104.6,89245.82,-3.636e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:12:00,2026-04-01,68080.3,68080.4,68011.0,68014.5,55.043,147.705,202.748,-92.662,-0.45703040227277214,68035.52,89262.04,-3.717e-05,0.0,0.437,False,2026-04-01.csv
2026-04-01 00:13:00,2026-04-01,68014.4,68062.3,68011.3,68030.9,114.892,56.747,171.639,58.144999999999996,0.33876333467335507,68034.76,89246.05,-3.841e-05,0.004,0.0,False,2026-04-01.csv
2026-04-01 00:14:00,2026-04-01,68030.8,68051.8,68021.4,68036.3,28.915,41.982,70.897,-13.067,-0.18430963228345346,68039.99,89255.26,-3.841e-05,0.0,0.006,False,2026-04-01.csv
2026-04-01 00:15:00,2026-04-01,68036.3,68036.4,67975.3,68004.6,35.615,109.747,145.362,-74.132,-0.5099819760322506,68007.28,89251.45,-3.941e-05,0.0,0.07,False,2026-04-01.csv
2026-04-01 00:16:00,2026-04-01,68004.7,68081.9,68004.6,68067.9,63.393,51.383,114.776,12.009999999999998,0.10463860040426569,68056.71,89260.77,-4.023e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:17:00,2026-04-01,68067.9,68088.5,68036.0,68051.9,13.097,55.302,68.399,-42.205,-0.6170411848126435,68062.64,89262.01,-4.023e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:18:00,2026-04-01,68052.0,68157.9,68046.8,68157.9,53.691,38.706,92.397,14.985,0.16218059027890513,68110.87,89280.95,-4.06e-05,0.003,0.0,False,2026-04-01.csv
2026-04-01 00:19:00,2026-04-01,68158.0,68177.9,68145.8,68145.8,39.874,48.937,88.811,-9.062999999999995,-0.1020481697087072,68157.99,89290.32,-4.086e-05,0.061,0.0,False,2026-04-01.csv
2026-04-01 00:20:00,2026-04-01,68145.8,68145.9,68080.4,68096.9,8.76,48.714,57.474,-39.954,-0.6951665100741206,68121.1,89295.58,-4.014e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:21:00,2026-04-01,68096.9,68150.0,68096.9,68116.7,36.773,44.886,81.659,-8.113,-0.09935218408258734,68131.19,89286.26,-4.014e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:22:00,2026-04-01,68116.7,68116.7,68048.3,68048.3,6.038,53.455,59.493,-47.417,-0.7970181365874976,68081.81,89290.26,-4.126e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:23:00,2026-04-01,68048.4,68054.0,67944.1,67958.6,41.411,90.808,132.219,-49.397000000000006,-0.3735998608369448,67988.72,89285.14,-4.211e-05,0.0,0.14,False,2026-04-01.csv
2026-04-01 00:24:00,2026-04-01,67958.6,67983.7,67883.2,67958.8,158.351,203.252,361.603,-44.90100000000001,-0.12417208928023277,67933.79,89286.12,-4.211e-05,0.0,0.954,False,2026-04-01.csv
2026-04-01 00:25:00,2026-04-01,67958.9,67970.6,67930.6,67935.3,19.014,64.654,83.668,-45.64,-0.5454893149113161,67946.56,89310.45,-4.355e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:26:00,2026-04-01,67935.2,67935.2,67895.5,67916.0,29.282,80.992,110.274,-51.71000000000001,-0.46892286486388457,67918.71,89332.13,-4.395e-05,0.0,1.504,False,2026-04-01.csv
2026-04-01 00:27:00,2026-04-01,67915.9,67937.1,67900.0,67911.0,32.834,77.289,110.123,-44.455,-0.4036849704421419,67915.32,89337.16,-4.429e-05,0.0,0.005,False,2026-04-01.csv
2026-04-01 00:28:00,2026-04-01,67911.1,67917.5,67900.0,67912.2,43.976,36.611,80.587,7.365000000000002,0.09139191184682395,67907.85,89358.13,-4.429e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:29:00,2026-04-01,67912.2,67930.4,67863.3,67886.7,42.378,66.434,108.812,-24.055999999999997,-0.2210785575120391,67898.69,89377.03,-4.483e-05,0.069,1.255,False,2026-04-01.csv
2026-04-01 00:30:00,2026-04-01,67886.8,67964.4,67886.7,67964.4,62.679,100.033,162.712,-37.354,-0.22957126702394415,67920.26,89396.91,-4.548e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:31:00,2026-04-01,67964.3,67991.6,67964.3,67991.3,43.519,29.182,72.701,14.337,0.19720499030274688,67983.43,89421.5,-4.548e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:32:00,2026-04-01,67991.3,67996.5,67900.5,67900.5,28.103,83.647,111.75,-55.544000000000004,-0.49703803131991053,67952.34,89440.35,-4.538e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:33:00,2026-04-01,67900.5,67900.6,67808.1,67848.0,99.834,179.694,279.528,-79.85999999999999,-0.28569588735296636,67839.46,89453.74,-4.506e-05,0.0,0.131,False,2026-04-01.csv
2026-04-01 00:34:00,2026-04-01,67848.0,67892.7,67848.0,67892.7,23.661,39.718,63.379,-16.057000000000002,-0.25334890105555474,67874.29,89463.53,-4.506e-05,0.0,0.002,False,2026-04-01.csv
2026-04-01 00:35:00,2026-04-01,67892.8,67899.0,67864.2,67888.3,17.032,38.591,55.623,-21.559,-0.38759146396274924,67877.59,89479.31,-4.643e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:36:00,2026-04-01,67888.3,67921.4,67888.3,67921.3,29.68,24.995,54.675,4.684999999999999,0.08568815729309555,67907.89,89482.57,-4.654e-05,0.006,0.088,False,2026-04-01.csv
2026-04-01 00:37:00,2026-04-01,67921.4,67954.6,67906.8,67931.8,26.733,30.285,57.018,-3.5519999999999996,-0.062296117015679255,67933.37,89483.44,-4.661e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:38:00,2026-04-01,67931.7,67932.2,67902.8,67914.8,11.438,29.171,40.609,-17.732999999999997,-0.4366765987835208,67920.13,89483.59,-4.661e-05,0.061,0.0,False,2026-04-01.csv
2026-04-01 00:39:00,2026-04-01,67914.9,67942.3,67888.0,67942.2,28.428,21.816,50.244,6.612000000000002,0.1315978027227132,67910.48,89497.96,-4.675e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:40:00,2026-04-01,67942.3,67958.5,67928.6,67941.0,35.794,33.76,69.554,2.033999999999999,0.02924346550881328,67945.18,89506.13,-4.696e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:41:00,2026-04-01,67941.0,67958.7,67940.5,67958.5,16.447,45.177,61.624,-28.73,-0.46621446189796184,67949.47,89517.69,-4.696e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:42:00,2026-04-01,67958.6,67983.9,67935.1,67966.5,23.016,20.3,43.316,2.7159999999999975,0.06270200387847441,67958.91,89519.03,-4.62e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:43:00,2026-04-01,67966.6,67986.2,67966.5,67979.4,20.697,33.157,53.854,-12.459999999999997,-0.23136628662680575,67976.71,89533.73,-4.626e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:44:00,2026-04-01,67979.3,67980.7,67973.1,67973.1,11.259,9.48,20.739,1.779,0.08578041371329378,67976.9,89536.76,-4.619e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:45:00,2026-04-01,67973.2,68031.7,67973.1,68031.2,67.406,25.461,92.867,41.94500000000001,0.4516674383796182,68007.07,89534.01,-4.619e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:46:00,2026-04-01,68031.2,68031.2,67989.8,68005.5,41.366,34.031,75.397,7.335000000000001,0.09728503786622811,68005.33,89529.29,-4.642e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:47:00,2026-04-01,68005.6,68043.7,68005.6,68034.3,33.637,11.973,45.61,21.664,0.4749835562376672,68031.99,89505.84,-4.601e-05,0.036,0.0,False,2026-04-01.csv
2026-04-01 00:48:00,2026-04-01,68034.3,68035.5,68017.0,68017.0,10.781,13.507,24.288,-2.725999999999999,-0.11223649538866927,68028.71,89504.54,-4.601e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:49:00,2026-04-01,68016.9,68016.9,67996.3,67996.3,3.929,12.103,16.032,-8.174,-0.5098552894211577,68001.71,89508.16,-4.552e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:50:00,2026-04-01,67996.3,68087.9,67990.0,68077.9,168.407,41.919,210.326,126.48800000000001,0.6013902227969914,68051.76,89520.02,-4.575e-05,1.97,0.0,False,2026-04-01.csv
2026-04-01 00:51:00,2026-04-01,68077.9,68237.2,68077.8,68219.7,202.566,54.23,256.796,148.336,0.5776413962834313,68161.02,89545.61,-4.572e-05,0.323,0.0,False,2026-04-01.csv
2026-04-01 00:52:00,2026-04-01,68220.0,68271.3,68188.0,68219.4,124.277,63.708,187.985,60.569,0.32220123946059526,68229.27,89484.35,-4.572e-05,0.772,0.0,False,2026-04-01.csv
2026-04-01 00:53:00,2026-04-01,68219.3,68263.0,68208.8,68228.7,43.692,32.231,75.923,11.460999999999999,0.15095557340990212,68232.59,89481.31,-4.485e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:54:00,2026-04-01,68228.7,68234.2,68203.0,68223.4,20.46,35.865,56.325,-15.405000000000001,-0.2735019973368842,68221.72,89486.69,-4.458e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:55:00,2026-04-01,68223.3,68305.1,68204.1,68250.8,192.167,87.373,279.54,104.794,0.37488016026328963,68254.8,89498.65,-4.458e-05,0.012,0.0,False,2026-04-01.csv
2026-04-01 00:56:00,2026-04-01,68250.8,68286.5,68240.9,68248.1,59.892,37.058,96.95,22.834000000000003,0.23552346570397115,68263.2,89514.31,-4.479e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:57:00,2026-04-01,68248.2,68251.3,68183.3,68193.6,10.763,41.803,52.566,-31.04,-0.5904957577141118,68209.44,89517.26,-4.503e-05,0.002,0.0,False,2026-04-01.csv
2026-04-01 00:58:00,2026-04-01,68193.7,68199.0,68189.4,68192.6,7.546,16.507,24.053,-8.961000000000002,-0.3725522803808258,68193.79,89519.96,-4.577e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 00:59:00,2026-04-01,68192.6,68263.4,68191.2,68251.8,64.944,29.35,94.294,35.594,0.3774789488196492,68219.37,89547.98,-4.577e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:00:00,2026-04-01,68251.8,68288.0,68237.1,68288.0,52.293,18.308,70.601,33.985,0.4813671194459002,68259.54,89558.15,-4.647e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:01:00,2026-04-01,68288.0,68330.0,68256.6,68287.4,122.783,75.571,198.354,47.212,0.2380188955100477,68297.01,89536.14,-4.633e-05,0.2,0.0,False,2026-04-01.csv
2026-04-01 01:02:00,2026-04-01,68287.3,68321.4,68213.9,68229.0,65.225,94.255,159.48,-29.03,-0.18202909455731128,68263.53,89585.64,-4.633e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:03:00,2026-04-01,68228.4,68268.8,68182.8,68268.7,36.407,38.089,74.496,-1.6820000000000022,-0.02257839347079041,68212.78,89595.55,-4.604e-05,0.0,0.029,False,2026-04-01.csv
2026-04-01 01:04:00,2026-04-01,68268.8,68306.0,68250.3,68279.4,34.455,16.661,51.116,17.793999999999997,0.348110180765318,68281.81,89608.83,-4.634e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:05:00,2026-04-01,68279.5,68296.9,68230.2,68289.6,57.556,52.37,109.926,5.186,0.04717719192911595,68259.9,89601.33,-4.634e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:06:00,2026-04-01,68289.5,68296.6,68199.6,68199.7,19.131,65.409,84.54,-46.278000000000006,-0.5474095102909865,68268.33,89624.05,-4.546e-05,0.0,0.0,False,2026-04-01.csv
2026-04-01 01:07:00,2026-04-01,68199.6,68206.7,68106.3,68148.7,33.42,56.659,90.079,-23.238999999999997,-0.25798465791138886,68151.75,89614.99,-4.571e-05,0.0,0.007,False,2026-04-01.csv
2026-04-01 01:08:00,2026-04-01,68148.8,68232.4,68143.2,68215.0,61.419,34.338,95.757,27.080999999999996,0.28280961182994446,68187.75,89601.94,-4.691e-05,0.0,0.0,False,2026-04-01.csv
