ts,day,open,high,low,close,delta_1m,vol_1m,vwap,source_file,delta_sign,price_move_sign,price_vs_vwap_side,reference_direction,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,upside_max_5m,downside_max_5m,upside_max_15m,downside_max_15m,upside_max_30m,downside_max_30m,upside_max_60m,downside_max_60m,favorable_max_5m,adverse_max_5m,favorable_max_15m,adverse_max_15m,favorable_max_30m,adverse_max_30m,favorable_max_60m,adverse_max_60m,up_hit_10bp_5m_flag,down_hit_10bp_5m_flag,up_time_to_hit_10bp_5m_min,down_time_to_hit_10bp_5m_min,up_before_down_10bp_5m_flag,down_before_up_10bp_5m_flag,both_hit_10bp_5m_flag,up_hit_10bp_15m_flag,down_hit_10bp_15m_flag,up_time_to_hit_10bp_15m_min,down_time_to_hit_10bp_15m_min,up_before_down_10bp_15m_flag,down_before_up_10bp_15m_flag,both_hit_10bp_15m_flag,up_hit_10bp_30m_flag,down_hit_10bp_30m_flag,up_time_to_hit_10bp_30m_min,down_time_to_hit_10bp_30m_min,up_before_down_10bp_30m_flag,down_before_up_10bp_30m_flag,both_hit_10bp_30m_flag,up_hit_10bp_60m_flag,down_hit_10bp_60m_flag,up_time_to_hit_10bp_60m_min,down_time_to_hit_10bp_60m_min,up_before_down_10bp_60m_flag,down_before_up_10bp_60m_flag,both_hit_10bp_60m_flag,up_hit_25bp_5m_flag,down_hit_25bp_5m_flag,up_time_to_hit_25bp_5m_min,down_time_to_hit_25bp_5m_min,up_before_down_25bp_5m_flag,down_before_up_25bp_5m_flag,both_hit_25bp_5m_flag,up_hit_25bp_15m_flag,down_hit_25bp_15m_flag,up_time_to_hit_25bp_15m_min,down_time_to_hit_25bp_15m_min,up_before_down_25bp_15m_flag,down_before_up_25bp_15m_flag,both_hit_25bp_15m_flag,up_hit_25bp_30m_flag,down_hit_25bp_30m_flag,up_time_to_hit_25bp_30m_min,down_time_to_hit_25bp_30m_min,up_before_down_25bp_30m_flag,down_before_up_25bp_30m_flag,both_hit_25bp_30m_flag,up_hit_25bp_60m_flag,down_hit_25bp_60m_flag,up_time_to_hit_25bp_60m_min,down_time_to_hit_25bp_60m_min,up_before_down_25bp_60m_flag,down_before_up_25bp_60m_flag,both_hit_25bp_60m_flag,up_hit_50bp_5m_flag,down_hit_50bp_5m_flag,up_time_to_hit_50bp_5m_min,down_time_to_hit_50bp_5m_min,up_before_down_50bp_5m_flag,down_before_up_50bp_5m_flag,both_hit_50bp_5m_flag,up_hit_50bp_15m_flag,down_hit_50bp_15m_flag,up_time_to_hit_50bp_15m_min,down_time_to_hit_50bp_15m_min,up_before_down_50bp_15m_flag,down_before_up_50bp_15m_flag,both_hit_50bp_15m_flag,up_hit_50bp_30m_flag,down_hit_50bp_30m_flag,up_time_to_hit_50bp_30m_min,down_time_to_hit_50bp_30m_min,up_before_down_50bp_30m_flag,down_before_up_50bp_30m_flag,both_hit_50bp_30m_flag,up_hit_50bp_60m_flag,down_hit_50bp_60m_flag,up_time_to_hit_50bp_60m_min,down_time_to_hit_50bp_60m_min,up_before_down_50bp_60m_flag,down_before_up_50bp_60m_flag,both_hit_50bp_60m_flag
2026-04-04 00:00:00,2026-04-04,66921.9,66930.0,66917.4,66930.0,29.319000000000003,35.851,66919.78,2026-04-04.csv,positive,up,above,up,-68.5,-56.89999999999418,-44.39999999999418,-66.60000000000582,0.0,68.5,0.0,91.10000000000582,5.30000000000291,91.10000000000582,5.30000000000291,91.10000000000582,0.0,68.5,0.0,91.10000000000582,5.30000000000291,91.10000000000582,5.30000000000291,91.10000000000582,False,True,,4.0,False,False,False,False,True,,4.0,False,False,False,False,True,,4.0,False,False,False,False,True,,4.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:01:00,2026-04-04,66930.0,66930.0,66894.6,66904.2,-24.269000000000002,61.911,66913.52,2026-04-04.csv,negative,down,below,down,-38.69999999999709,-25.09999999999127,-18.5,-40.80000000000291,0.10000000000582077,65.30000000000291,0.10000000000582077,65.30000000000291,31.10000000000582,65.30000000000291,31.10000000000582,65.30000000000291,65.30000000000291,0.10000000000582077,65.30000000000291,0.10000000000582077,65.30000000000291,31.10000000000582,65.30000000000291,31.10000000000582,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:02:00,2026-04-04,66904.2,66904.3,66898.0,66898.0,-17.795,28.731,66902.24,2026-04-04.csv,negative,down,below,down,-23.5,-22.39999999999418,1.8999999999941792,-46.69999999999709,0.0,59.10000000000582,0.0,59.10000000000582,37.30000000000291,59.10000000000582,37.30000000000291,59.10000000000582,59.10000000000582,0.0,59.10000000000582,0.0,59.10000000000582,37.30000000000291,59.10000000000582,37.30000000000291,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:03:00,2026-04-04,66898.0,66898.0,66868.8,66868.8,-24.202,34.074,66875.39,2026-04-04.csv,negative,down,below,down,5.399999999994179,16.5,61.19999999999709,-29.60000000000582,12.099999999991269,29.90000000000873,24.19999999999709,29.90000000000873,66.5,29.90000000000873,66.5,33.5,29.90000000000873,12.099999999991269,29.90000000000873,24.19999999999709,29.90000000000873,66.5,33.5,66.5,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:04:00,2026-04-04,66868.9,66880.9,66862.2,66862.2,-13.863000000000001,31.447,66871.88,2026-04-04.csv,negative,down,below,down,28.30000000000291,14.5,67.69999999999709,-15.099999999991269,28.30000000000291,23.30000000000291,30.80000000000291,23.30000000000291,73.10000000000582,23.30000000000291,73.10000000000582,26.89999999999418,23.30000000000291,28.30000000000291,23.30000000000291,30.80000000000291,23.30000000000291,73.10000000000582,26.89999999999418,73.10000000000582,False,False,,,False,False,False,False,False,,,False,False,False,True,False,23.0,,False,False,False,True,False,23.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:05:00,2026-04-04,66862.2,66878.4,66861.5,66861.5,-8.873,33.975,66871.56,2026-04-04.csv,negative,down,below,down,25.5,14.60000000000582,48.10000000000582,-5.100000000005821,31.5,22.60000000000582,31.5,22.60000000000582,73.80000000000291,22.60000000000582,73.80000000000291,26.19999999999709,22.60000000000582,31.5,22.60000000000582,31.5,22.60000000000582,73.80000000000291,26.19999999999709,73.80000000000291,False,False,,,False,False,False,False,False,,,False,False,False,True,False,22.0,,False,False,False,True,False,22.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:06:00,2026-04-04,66861.6,66865.6,66838.9,66865.5,-13.313,44.699,66851.36,2026-04-04.csv,negative,up,above,up,21.5,-5.30000000000291,39.39999999999418,-5.600000000005821,27.5,-0.10000000000582077,27.5,13.60000000000582,69.80000000000291,13.60000000000582,69.80000000000291,30.19999999999709,27.5,-0.10000000000582077,27.5,13.60000000000582,69.80000000000291,13.60000000000582,69.80000000000291,30.19999999999709,False,False,,,False,False,False,False,False,,,False,False,False,True,False,21.0,,False,False,False,True,False,21.0,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:07:00,2026-04-04,66865.6,66874.5,66865.6,66874.5,4.769,6.603,66869.66,2026-04-04.csv,positive,up,above,up,-7.5,-14.19999999999709,39.30000000000291,7.0,18.5,22.60000000000582,18.5,22.60000000000582,60.80000000000291,22.60000000000582,60.80000000000291,39.19999999999709,18.5,22.60000000000582,18.5,22.60000000000582,60.80000000000291,22.60000000000582,60.80000000000291,39.19999999999709,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:08:00,2026-04-04,66874.4,66874.5,66870.0,66874.2,-2.9290000000000003,8.775,66872.39,2026-04-04.csv,negative,down,above,down,-1.3999999999941792,19.0,44.90000000000873,17.5,18.80000000000291,22.30000000000291,25.80000000000291,22.30000000000291,61.10000000000582,22.30000000000291,61.10000000000582,38.89999999999418,22.30000000000291,18.80000000000291,22.30000000000291,25.80000000000291,22.30000000000291,61.10000000000582,38.89999999999418,61.10000000000582,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:09:00,2026-04-04,66874.1,66890.5,66874.1,66890.5,10.1,12.198,66884.83,2026-04-04.csv,positive,up,above,up,-17.5,2.1999999999970896,19.10000000000582,-12.0,2.5,38.60000000000582,9.5,38.60000000000582,44.80000000000291,38.60000000000582,44.80000000000291,55.19999999999709,2.5,38.60000000000582,9.5,38.60000000000582,44.80000000000291,38.60000000000582,44.80000000000291,55.19999999999709,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:10:00,2026-04-04,66890.5,66893.0,66885.6,66887.0,-5.551,10.991,66889.51,2026-04-04.csv,negative,down,below,down,-13.89999999999418,18.19999999999709,33.10000000000582,-2.8000000000029104,0.10000000000582077,35.10000000000582,32.69999999999709,35.10000000000582,48.30000000000291,35.10000000000582,48.30000000000291,51.69999999999709,35.10000000000582,0.10000000000582077,35.10000000000582,32.69999999999709,35.10000000000582,48.30000000000291,51.69999999999709,48.30000000000291,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-04-04 00:11:00,2026-04-04,66887.0,66887.1,66887.0,66887.0,-3.058,5.086,66887.02,2026-04-04.csv,negative,flat_or_unknown,below,down,-7.899999999994179,22.69999999999709,5.69999999999709,-31.0,0.0,35.10000000000582,32.69999999999709,35.10000000000582,48.30000000000291,35.10000000000582,48.30000000000291,51.69999999999709,35.10000000000582,0.0,35.10000000000582,32.69999999999709,35.10000000000582,48.30000000000291,51.69999999999709,48.30000000000291,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
