ts,day,open,high,low,close,delta_1m,vol_1m,vwap,source_file,delta_sign,price_move_sign,price_vs_vwap_side,reference_direction,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,upside_max_5m,downside_max_5m,upside_max_15m,downside_max_15m,upside_max_30m,downside_max_30m,upside_max_60m,downside_max_60m,favorable_max_5m,adverse_max_5m,favorable_max_15m,adverse_max_15m,favorable_max_30m,adverse_max_30m,favorable_max_60m,adverse_max_60m,up_hit_10bp_5m_flag,down_hit_10bp_5m_flag,up_time_to_hit_10bp_5m_min,down_time_to_hit_10bp_5m_min,up_before_down_10bp_5m_flag,down_before_up_10bp_5m_flag,both_hit_10bp_5m_flag,up_hit_10bp_15m_flag,down_hit_10bp_15m_flag,up_time_to_hit_10bp_15m_min,down_time_to_hit_10bp_15m_min,up_before_down_10bp_15m_flag,down_before_up_10bp_15m_flag,both_hit_10bp_15m_flag,up_hit_10bp_30m_flag,down_hit_10bp_30m_flag,up_time_to_hit_10bp_30m_min,down_time_to_hit_10bp_30m_min,up_before_down_10bp_30m_flag,down_before_up_10bp_30m_flag,both_hit_10bp_30m_flag,up_hit_10bp_60m_flag,down_hit_10bp_60m_flag,up_time_to_hit_10bp_60m_min,down_time_to_hit_10bp_60m_min,up_before_down_10bp_60m_flag,down_before_up_10bp_60m_flag,both_hit_10bp_60m_flag,up_hit_25bp_5m_flag,down_hit_25bp_5m_flag,up_time_to_hit_25bp_5m_min,down_time_to_hit_25bp_5m_min,up_before_down_25bp_5m_flag,down_before_up_25bp_5m_flag,both_hit_25bp_5m_flag,up_hit_25bp_15m_flag,down_hit_25bp_15m_flag,up_time_to_hit_25bp_15m_min,down_time_to_hit_25bp_15m_min,up_before_down_25bp_15m_flag,down_before_up_25bp_15m_flag,both_hit_25bp_15m_flag,up_hit_25bp_30m_flag,down_hit_25bp_30m_flag,up_time_to_hit_25bp_30m_min,down_time_to_hit_25bp_30m_min,up_before_down_25bp_30m_flag,down_before_up_25bp_30m_flag,both_hit_25bp_30m_flag,up_hit_25bp_60m_flag,down_hit_25bp_60m_flag,up_time_to_hit_25bp_60m_min,down_time_to_hit_25bp_60m_min,up_before_down_25bp_60m_flag,down_before_up_25bp_60m_flag,both_hit_25bp_60m_flag,up_hit_50bp_5m_flag,down_hit_50bp_5m_flag,up_time_to_hit_50bp_5m_min,down_time_to_hit_50bp_5m_min,up_before_down_50bp_5m_flag,down_before_up_50bp_5m_flag,both_hit_50bp_5m_flag,up_hit_50bp_15m_flag,down_hit_50bp_15m_flag,up_time_to_hit_50bp_15m_min,down_time_to_hit_50bp_15m_min,up_before_down_50bp_15m_flag,down_before_up_50bp_15m_flag,both_hit_50bp_15m_flag,up_hit_50bp_30m_flag,down_hit_50bp_30m_flag,up_time_to_hit_50bp_30m_min,down_time_to_hit_50bp_30m_min,up_before_down_50bp_30m_flag,down_before_up_50bp_30m_flag,both_hit_50bp_30m_flag,up_hit_50bp_60m_flag,down_hit_50bp_60m_flag,up_time_to_hit_50bp_60m_min,down_time_to_hit_50bp_60m_min,up_before_down_50bp_60m_flag,down_before_up_50bp_60m_flag,both_hit_50bp_60m_flag
2026-03-23 00:00:00,2026-03-23,67824.7,67854.0,67824.7,67830.6,6.100999999999999,86.467,67843.03,2026-03-23.csv,positive,up,below,up,96.69999999999709,93.79999999998836,134.89999999999418,-186.40000000000873,169.39999999999418,0.0,263.29999999998836,94.60000000000582,300.0,94.60000000000582,300.0,430.5,169.39999999999418,0.0,263.29999999998836,94.60000000000582,300.0,94.60000000000582,300.0,430.5,True,False,1.0,,False,False,False,True,True,1.0,6.0,True,False,True,True,True,1.0,6.0,True,False,True,True,True,1.0,6.0,True,False,True,False,False,,,False,False,False,True,False,9.0,,False,False,False,True,False,9.0,,False,False,False,True,True,9.0,37.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,41.0,False,False,False
2026-03-23 00:01:00,2026-03-23,67830.6,68000.0,67830.6,67927.8,194.72499999999997,440.695,67925.88,2026-03-23.csv,positive,up,above,up,-180.6999999999971,-94.30000000000291,5.80000000000291,-366.6000000000058,45.30000000000291,191.8000000000029,166.09999999999127,191.8000000000029,202.8000000000029,191.8000000000029,202.8000000000029,527.6999999999971,45.30000000000291,191.8000000000029,166.09999999999127,191.8000000000029,202.8000000000029,191.8000000000029,202.8000000000029,527.6999999999971,False,True,,2.0,False,False,False,True,True,8.0,2.0,False,True,True,True,True,8.0,2.0,False,True,True,True,True,8.0,2.0,False,True,True,False,True,,5.0,False,False,False,False,True,,5.0,False,False,False,True,True,26.0,5.0,False,True,True,True,True,26.0,5.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,36.0,False,False,False
2026-03-23 00:02:00,2026-03-23,67927.9,67953.9,67884.0,67884.0,6.3969999999999985,106.837,67912.27,2026-03-23.csv,positive,down,below,down,26.80000000000291,-7.100000000005821,-13.0,-291.8000000000029,89.10000000000582,148.0,209.89999999999418,148.0,246.60000000000582,148.0,246.60000000000582,483.8999999999942,148.0,89.10000000000582,148.0,209.89999999999418,148.0,246.60000000000582,483.8999999999942,246.60000000000582,True,True,3.0,4.0,True,False,True,True,True,3.0,4.0,True,False,True,True,True,3.0,4.0,True,False,True,True,True,3.0,4.0,True,False,True,False,False,,,False,False,False,True,False,11.0,,False,False,False,True,False,11.0,,False,False,False,True,True,11.0,35.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,39.0,False,False,False
2026-03-23 00:03:00,2026-03-23,67884.0,67910.0,67852.3,67852.3,29.495999999999995,122.128,67880.41,2026-03-23.csv,positive,down,below,down,75.39999999999418,25.80000000000291,-22.69999999999709,-267.3000000000029,120.80000000000291,116.30000000000291,241.59999999999127,116.30000000000291,278.3000000000029,116.30000000000291,278.3000000000029,452.1999999999971,116.30000000000291,120.80000000000291,116.30000000000291,241.59999999999127,116.30000000000291,278.3000000000029,452.1999999999971,278.3000000000029,True,True,1.0,3.0,True,False,True,True,True,1.0,3.0,True,False,True,True,True,1.0,3.0,True,False,True,True,True,1.0,3.0,True,False,True,False,False,,,False,False,False,True,False,9.0,,False,False,False,True,False,9.0,,False,False,False,True,True,9.0,34.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,38.0,False,False,False
2026-03-23 00:04:00,2026-03-23,67852.4,67926.7,67837.9,67922.3,72.91799999999999,127.222,67872.06,2026-03-23.csv,positive,up,above,up,19.39999999999418,-33.40000000000873,-101.80000000000291,-315.0,95.59999999999127,186.3000000000029,171.59999999999127,186.3000000000029,208.3000000000029,186.3000000000029,208.3000000000029,522.1999999999971,95.59999999999127,186.3000000000029,171.59999999999127,186.3000000000029,208.3000000000029,186.3000000000029,208.3000000000029,522.1999999999971,True,True,5.0,2.0,False,True,True,True,True,5.0,2.0,False,True,True,True,True,5.0,2.0,False,True,True,True,True,5.0,2.0,False,True,True,False,True,,2.0,False,False,False,True,True,9.0,2.0,False,True,True,True,True,9.0,2.0,False,True,True,True,True,9.0,2.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,33.0,False,False,False
2026-03-23 00:05:00,2026-03-23,67922.3,67973.1,67903.1,67927.3,22.413,85.605,67938.59,2026-03-23.csv,positive,up,below,up,4.599999999991269,-65.40000000000873,-132.0,-267.1999999999971,90.59999999999127,191.3000000000029,166.59999999999127,191.3000000000029,203.3000000000029,191.3000000000029,203.3000000000029,527.1999999999971,90.59999999999127,191.3000000000029,166.59999999999127,191.3000000000029,203.3000000000029,191.3000000000029,203.3000000000029,527.1999999999971,True,True,4.0,1.0,False,True,True,True,True,4.0,1.0,False,True,True,True,True,4.0,1.0,False,True,True,True,True,4.0,1.0,False,True,True,False,True,,1.0,False,False,False,False,True,,1.0,False,False,False,True,True,22.0,1.0,False,True,True,True,True,22.0,1.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,32.0,False,False,False
2026-03-23 00:06:00,2026-03-23,67927.2,67932.5,67736.0,67747.1,-93.59400000000002,189.554,67796.44,2026-03-23.csv,negative,down,below,down,151.39999999999418,114.69999999999709,0.6999999999970896,-39.80000000000291,270.79999999998836,0.0,346.79999999998836,0.0,383.5,8.400000000008731,383.5,347.0,0.0,270.79999999998836,0.0,346.79999999998836,8.400000000008731,383.5,347.0,383.5,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,True,1.0,31.0,True,False,True,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,False,1.0,,False,False,False,True,True,1.0,31.0,True,False,True,False,False,,,False,False,False,True,False,7.0,,False,False,False,True,False,7.0,,False,False,False,True,True,7.0,36.0,True,False,True
2026-03-23 00:07:00,2026-03-23,67747.1,67930.9,67747.1,67910.8,46.814,132.268,67846.84,2026-03-23.csv,positive,up,above,up,119.69999999999709,18.59999999999127,-274.5,-106.40000000000873,120.5,12.400000000008731,183.09999999999127,145.8000000000029,219.8000000000029,346.0,219.8000000000029,510.6999999999971,120.5,12.400000000008731,183.09999999999127,145.8000000000029,219.8000000000029,346.0,219.8000000000029,510.6999999999971,True,False,2.0,,False,False,False,True,True,2.0,9.0,True,False,True,True,True,2.0,9.0,True,False,True,True,True,2.0,9.0,True,False,True,False,False,,,False,False,False,True,False,6.0,,False,False,False,True,True,6.0,29.0,True,False,True,True,True,6.0,29.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,30.0,False,False,False,False,True,,30.0,False,False,False
2026-03-23 00:08:00,2026-03-23,67910.9,67960.2,67902.9,67927.7,14.998999999999999,56.391,67937.24,2026-03-23.csv,positive,up,below,up,155.10000000000582,-9.89999999999418,-276.5,-113.89999999999418,166.1999999999971,29.30000000000291,166.1999999999971,162.6999999999971,202.90000000000873,362.8999999999942,202.90000000000873,527.5999999999913,166.1999999999971,29.30000000000291,166.1999999999971,162.6999999999971,202.90000000000873,362.8999999999942,202.90000000000873,527.5999999999913,True,False,1.0,,False,False,False,True,True,1.0,8.0,True,False,True,True,True,1.0,8.0,True,False,True,True,True,1.0,8.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,True,True,19.0,28.0,True,False,True,True,True,19.0,28.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,29.0,False,False,False,False,True,,29.0,False,False,False
2026-03-23 00:09:00,2026-03-23,67927.6,68017.9,67927.6,67941.7,51.662000000000006,92.202,67972.9,2026-03-23.csv,positive,up,below,up,94.5,8.19999999999709,-341.5,-52.69999999999709,152.1999999999971,43.30000000000291,152.1999999999971,176.6999999999971,188.90000000000873,376.8999999999942,188.90000000000873,541.5999999999913,152.1999999999971,43.30000000000291,152.1999999999971,176.6999999999971,188.90000000000873,376.8999999999942,188.90000000000873,541.5999999999913,True,False,3.0,,False,False,False,True,True,3.0,7.0,True,False,True,True,True,3.0,7.0,True,False,True,True,True,3.0,7.0,True,False,True,False,False,,,False,False,False,False,True,,7.0,False,False,False,True,True,18.0,7.0,False,True,True,True,True,18.0,7.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,28.0,False,False,False,False,True,,28.0,False,False,False
