ts,day,open,high,low,close,delta_1m,vol_1m,vwap,source_file,delta_sign,price_move_sign,price_vs_vwap_side,reference_direction,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,upside_max_5m,downside_max_5m,upside_max_15m,downside_max_15m,upside_max_30m,downside_max_30m,upside_max_60m,downside_max_60m,favorable_max_5m,adverse_max_5m,favorable_max_15m,adverse_max_15m,favorable_max_30m,adverse_max_30m,favorable_max_60m,adverse_max_60m,up_hit_10bp_5m_flag,down_hit_10bp_5m_flag,up_time_to_hit_10bp_5m_min,down_time_to_hit_10bp_5m_min,up_before_down_10bp_5m_flag,down_before_up_10bp_5m_flag,both_hit_10bp_5m_flag,up_hit_10bp_15m_flag,down_hit_10bp_15m_flag,up_time_to_hit_10bp_15m_min,down_time_to_hit_10bp_15m_min,up_before_down_10bp_15m_flag,down_before_up_10bp_15m_flag,both_hit_10bp_15m_flag,up_hit_10bp_30m_flag,down_hit_10bp_30m_flag,up_time_to_hit_10bp_30m_min,down_time_to_hit_10bp_30m_min,up_before_down_10bp_30m_flag,down_before_up_10bp_30m_flag,both_hit_10bp_30m_flag,up_hit_10bp_60m_flag,down_hit_10bp_60m_flag,up_time_to_hit_10bp_60m_min,down_time_to_hit_10bp_60m_min,up_before_down_10bp_60m_flag,down_before_up_10bp_60m_flag,both_hit_10bp_60m_flag,up_hit_25bp_5m_flag,down_hit_25bp_5m_flag,up_time_to_hit_25bp_5m_min,down_time_to_hit_25bp_5m_min,up_before_down_25bp_5m_flag,down_before_up_25bp_5m_flag,both_hit_25bp_5m_flag,up_hit_25bp_15m_flag,down_hit_25bp_15m_flag,up_time_to_hit_25bp_15m_min,down_time_to_hit_25bp_15m_min,up_before_down_25bp_15m_flag,down_before_up_25bp_15m_flag,both_hit_25bp_15m_flag,up_hit_25bp_30m_flag,down_hit_25bp_30m_flag,up_time_to_hit_25bp_30m_min,down_time_to_hit_25bp_30m_min,up_before_down_25bp_30m_flag,down_before_up_25bp_30m_flag,both_hit_25bp_30m_flag,up_hit_25bp_60m_flag,down_hit_25bp_60m_flag,up_time_to_hit_25bp_60m_min,down_time_to_hit_25bp_60m_min,up_before_down_25bp_60m_flag,down_before_up_25bp_60m_flag,both_hit_25bp_60m_flag,up_hit_50bp_5m_flag,down_hit_50bp_5m_flag,up_time_to_hit_50bp_5m_min,down_time_to_hit_50bp_5m_min,up_before_down_50bp_5m_flag,down_before_up_50bp_5m_flag,both_hit_50bp_5m_flag,up_hit_50bp_15m_flag,down_hit_50bp_15m_flag,up_time_to_hit_50bp_15m_min,down_time_to_hit_50bp_15m_min,up_before_down_50bp_15m_flag,down_before_up_50bp_15m_flag,both_hit_50bp_15m_flag,up_hit_50bp_30m_flag,down_hit_50bp_30m_flag,up_time_to_hit_50bp_30m_min,down_time_to_hit_50bp_30m_min,up_before_down_50bp_30m_flag,down_before_up_50bp_30m_flag,both_hit_50bp_30m_flag,up_hit_50bp_60m_flag,down_hit_50bp_60m_flag,up_time_to_hit_50bp_60m_min,down_time_to_hit_50bp_60m_min,up_before_down_50bp_60m_flag,down_before_up_50bp_60m_flag,both_hit_50bp_60m_flag
2026-03-19 00:00:00,2026-03-19,71209.8,71212.4,71202.9,71202.9,-4.506,21.288,71210.31,2026-03-19.csv,negative,down,below,down,21.90000000000873,-54.29999999998836,58.70000000001164,-232.89999999999418,56.0,68.79999999998836,71.10000000000582,154.5,80.40000000000873,154.5,80.40000000000873,262.8999999999942,68.79999999998836,56.0,154.5,71.10000000000582,154.5,80.40000000000873,262.8999999999942,80.40000000000873,False,False,,,False,False,False,False,True,,11.0,False,False,False,True,True,30.0,11.0,False,True,True,True,True,30.0,11.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,36.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:01:00,2026-03-19,71202.9,71209.8,71159.2,71169.2,-96.93,228.19,71179.77,2026-03-19.csv,negative,down,below,down,60.10000000000582,-24.39999999999418,85.10000000000582,-115.80000000000291,104.80000000000291,35.09999999999127,104.80000000000291,120.80000000000291,114.10000000000582,120.80000000000291,114.10000000000582,229.1999999999971,35.09999999999127,104.80000000000291,120.80000000000291,104.80000000000291,120.80000000000291,114.10000000000582,229.1999999999971,114.10000000000582,True,False,4.0,,False,False,False,True,True,4.0,10.0,True,False,True,True,True,4.0,10.0,True,False,True,True,True,4.0,10.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,52.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:02:00,2026-03-19,71169.2,71197.4,71145.0,71181.3,22.114000000000004,125.948,71166.43,2026-03-19.csv,positive,up,above,up,22.39999999999418,-54.5,24.80000000000291,-151.3000000000029,92.69999999999709,47.19999999999709,92.69999999999709,132.90000000000873,102.0,132.90000000000873,102.0,241.3000000000029,92.69999999999709,47.19999999999709,92.69999999999709,132.90000000000873,102.0,132.90000000000873,102.0,241.3000000000029,True,False,3.0,,False,False,False,True,True,3.0,9.0,True,False,True,True,True,3.0,9.0,True,False,True,True,True,3.0,9.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,50.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:03:00,2026-03-19,71181.2,71193.5,71150.6,71159.1,-64.25899999999999,123.929,71169.57,2026-03-19.csv,negative,down,below,down,91.0,-69.40000000000873,19.39999999999418,-89.10000000000582,114.89999999999418,25.0,114.89999999999418,110.70000000001164,124.19999999999709,110.70000000001164,124.19999999999709,219.10000000000582,25.0,114.89999999999418,110.70000000001164,114.89999999999418,110.70000000001164,124.19999999999709,219.10000000000582,124.19999999999709,True,False,2.0,,False,False,False,True,True,2.0,8.0,True,False,True,True,True,2.0,8.0,True,False,True,True,True,2.0,8.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,50.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:04:00,2026-03-19,71159.0,71193.4,71134.1,71193.4,-20.091,90.349,71155.35,2026-03-19.csv,negative,up,above,up,20.80000000000291,-93.39999999999418,-88.0,-198.29999999998836,80.60000000000582,28.19999999999709,80.60000000000582,145.0,89.90000000000873,145.0,89.90000000000873,253.39999999999418,80.60000000000582,28.19999999999709,80.60000000000582,145.0,89.90000000000873,145.0,89.90000000000873,253.39999999999418,True,False,2.0,,False,False,False,True,True,2.0,7.0,True,False,True,True,True,2.0,7.0,True,False,True,True,True,2.0,7.0,True,False,True,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,32.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:05:00,2026-03-19,71193.6,71258.9,71165.2,71224.8,20.735000000000003,82.593,71205.18,2026-03-19.csv,positive,up,above,up,-54.5,-112.5,-140.40000000000873,-253.6999999999971,49.19999999999709,54.5,49.19999999999709,176.40000000000873,58.5,176.40000000000873,58.5,284.8000000000029,49.19999999999709,54.5,49.19999999999709,176.40000000000873,58.5,176.40000000000873,58.5,284.8000000000029,False,False,,,False,False,False,False,True,,6.0,False,False,False,False,True,,6.0,False,False,False,False,True,,6.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,31.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:06:00,2026-03-19,71224.8,71274.0,71210.9,71229.3,-0.020000000000003126,56.052,71241.65,2026-03-19.csv,negative,up,below,up,-170.90000000000873,-168.90000000000873,-182.3000000000029,-287.90000000000873,38.5,170.90000000000873,38.5,180.90000000000873,54.0,215.10000000000582,54.0,291.40000000000873,38.5,170.90000000000873,38.5,180.90000000000873,54.0,215.10000000000582,54.0,291.40000000000873,False,True,,5.0,False,False,False,False,True,,5.0,False,False,False,False,True,,5.0,False,False,False,False,True,,5.0,False,False,False,False,False,,,False,False,False,False,True,,6.0,False,False,False,False,True,,6.0,False,False,False,False,True,,6.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:07:00,2026-03-19,71229.3,71229.3,71175.9,71203.7,13.715,49.577,71195.53,2026-03-19.csv,positive,down,above,down,-114.59999999999127,-95.0,-157.89999999999418,-168.3000000000029,64.10000000000582,155.3000000000029,64.10000000000582,155.3000000000029,79.60000000000582,189.5,79.60000000000582,273.6999999999971,155.3000000000029,64.10000000000582,155.3000000000029,64.10000000000582,189.5,79.60000000000582,273.6999999999971,79.60000000000582,False,True,,4.0,False,False,False,False,True,,4.0,False,False,False,True,True,23.0,4.0,False,True,True,True,True,23.0,4.0,False,True,True,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,29.0,False,False,False,False,True,,29.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:08:00,2026-03-19,71203.6,71267.8,71203.6,71250.1,14.674999999999997,63.523,71238.79,2026-03-19.csv,positive,up,above,up,-150.20000000001164,-150.0,-164.5,-216.5,4.899999999994179,201.70000000001164,4.899999999994179,201.70000000001164,33.19999999999709,235.90000000000873,33.19999999999709,320.1000000000058,4.899999999994179,201.70000000001164,4.899999999994179,201.70000000001164,33.19999999999709,235.90000000000873,33.19999999999709,320.1000000000058,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,True,,3.0,False,False,False,False,True,,3.0,False,False,False,False,True,,3.0,False,False,False,False,True,,3.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
2026-03-19 00:09:00,2026-03-19,71250.1,71255.0,71214.2,71214.2,-0.3569999999999993,36.237,71240.88,2026-03-19.csv,negative,down,below,down,-104.5,-155.89999999999418,-179.09999999999127,-208.09999999999127,0.10000000000582077,165.8000000000029,0.10000000000582077,165.8000000000029,69.10000000000582,200.0,69.10000000000582,284.1999999999971,165.8000000000029,0.10000000000582077,165.8000000000029,0.10000000000582077,200.0,69.10000000000582,284.1999999999971,69.10000000000582,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,True,,2.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,True,,27.0,False,False,False,False,True,,27.0,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False
