ts,day,open,high,low,close,buy_qty,sell_qty,vol_1m,delta_1m,imbalance_1m,vwap,open_interest,funding_rate,liq_buy_qty,liq_sell_qty,is_synthetic,source_file
2026-04-04 00:00:00,2026-04-04,66921.9,66930.0,66917.4,66930.0,32.585,3.266,35.851,29.319000000000003,0.8178014560263313,66919.78,90275.49,3.755e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:01:00,2026-04-04,66930.0,66930.0,66894.6,66904.2,18.821,43.09,61.911,-24.269000000000002,-0.3919981909515272,66913.52,90294.89,3.761e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:02:00,2026-04-04,66904.2,66904.3,66898.0,66898.0,5.468,23.263,28.731,-17.795,-0.6193658417736939,66902.24,90289.87,3.761e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:03:00,2026-04-04,66898.0,66898.0,66868.8,66868.8,4.936,29.138,34.074,-24.202,-0.7102776310383284,66875.39,90298.83,3.722e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:04:00,2026-04-04,66868.9,66880.9,66862.2,66862.2,8.792,22.655,31.447,-13.863000000000001,-0.4408369637803289,66871.88,90298.16,3.671e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:05:00,2026-04-04,66862.2,66878.4,66861.5,66861.5,12.551,21.424,33.975,-8.873,-0.26116261957321557,66871.56,90298.92,3.576e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:06:00,2026-04-04,66861.6,66865.6,66838.9,66865.5,15.693,29.006,44.699,-13.313,-0.29783664064073023,66851.36,90303.05,3.576e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:07:00,2026-04-04,66865.6,66874.5,66865.6,66874.5,5.686,0.917,6.603,4.769,0.7222474632742694,66869.66,90303.19,3.483e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:08:00,2026-04-04,66874.4,66874.5,66870.0,66874.2,2.923,5.852,8.775,-2.9290000000000003,-0.33378917378917383,66872.39,90303.93,3.485e-05,0.0,0.0,False,2026-04-04.csv
2026-04-04 00:09:00,2026-04-04,66874.1,66890.5,66874.1,66890.5,11.149,1.049,12.198,10.1,0.8280045909165437,66884.83,90303.93,3.485e-05,0.0,0.0,False,2026-04-04.csv
