"target_ts","Timestamp","minutes_from_target","Close","VWAP","BuyQty","SellQty","OpenInterest","FundingRate","LiqBuyQty","LiqSellQty","IsSynthetic","delta_1m","vol_1m","price_minus_vwap"
"2026-03-20 00:40:00","2026-03-20 00:10:00","-30","69973.00","69992.69","61.720000","24.288000","86805.73","0.00000836","0.004000","0.000000","0","37.432","86.008","-19.69"
"2026-03-20 00:40:00","2026-03-20 00:11:00","-29","70087.10","70026.90","112.480000","45.817000","86775.28","0.00000919","0.027000","0.000000","0","66.663","158.297","60.2"
"2026-03-20 00:40:00","2026-03-20 00:12:00","-28","70053.20","70052.88","40.702000","30.081000","86778.11","0.00000919","0.266000","0.000000","0","10.621","70.783","0.32"
"2026-03-20 00:40:00","2026-03-20 00:13:00","-27","70019.90","70018.22","29.254000","28.459000","86781.35","0.00000972","0.000000","0.000000","0","0.795","57.713","1.68"
"2026-03-20 00:40:00","2026-03-20 00:14:00","-26","70026.60","70017.95","18.769000","8.911000","86789.08","0.00000960","0.000000","0.000000","0","9.858","27.68","8.65"
"2026-03-20 00:40:00","2026-03-20 00:15:00","-25","70050.00","70041.56","28.371000","12.379000","86794.07","0.00000977","0.000000","0.000000","0","15.992","40.75","8.44"
"2026-03-20 00:40:00","2026-03-20 00:16:00","-24","70064.90","70075.84","33.754000","17.371000","86803.15","0.00000977","0.000000","0.000000","0","16.383","51.125","-10.94"
"2026-03-20 00:40:00","2026-03-20 00:17:00","-23","70048.30","70048.33","9.520000","10.964000","86802.69","0.00001053","0.000000","0.000000","0","-1.444","20.484","-0.03"
"2026-03-20 00:40:00","2026-03-20 00:18:00","-22","70105.90","70087.74","68.685000","8.052000","86805.54","0.00001050","0.000000","0.000000","0","60.633","76.737","18.16"
"2026-03-20 00:40:00","2026-03-20 00:19:00","-21","70129.60","70129.15","59.438000","23.211000","86829.03","0.00001098","0.265000","0.005000","0","36.227","82.649","0.45"
"2026-03-20 00:40:00","2026-03-20 00:20:00","-20","70098.30","70095.50","23.839000","38.230000","86816.81","0.00001098","0.042000","0.037000","0","-14.391","62.069","2.8"
"2026-03-20 00:40:00","2026-03-20 00:21:00","-19","70077.00","70094.16","52.506000","36.781000","86823.02","0.00001143","0.000000","0.000000","0","15.725","89.287","-17.16"
"2026-03-20 00:40:00","2026-03-20 00:22:00","-18","70051.00","70068.06","12.524000","21.276000","86806.13","0.00001176","0.004000","0.004000","0","-8.752","33.8","-17.06"
"2026-03-20 00:40:00","2026-03-20 00:23:00","-17","70051.10","70052.17","14.111000","35.517000","86792.89","0.00001176","0.000000","0.000000","0","-21.406","49.628","-1.07"
"2026-03-20 00:40:00","2026-03-20 00:24:00","-16","69923.50","69985.20","18.765000","41.604000","86798.36","0.00001160","0.000000","0.000000","0","-22.839","60.369","-61.7"
"2026-03-20 00:40:00","2026-03-20 00:25:00","-15","69965.20","69929.04","21.870000","30.055000","86793.64","0.00001101","0.000000","0.029000","0","-8.185","51.925","36.16"
"2026-03-20 00:40:00","2026-03-20 00:26:00","-14","70028.60","70005.14","50.181000","19.075000","86804.77","0.00000906","0.000000","0.000000","0","31.106","69.256","23.46"
"2026-03-20 00:40:00","2026-03-20 00:27:00","-13","70032.10","70043.58","21.164000","6.521000","86794.92","0.00000906","0.000000","0.000000","0","14.643","27.685","-11.48"
"2026-03-20 00:40:00","2026-03-20 00:28:00","-12","69984.00","70000.49","28.416000","16.239000","86799.01","0.00000978","0.000000","0.000000","0","12.177","44.655","-16.49"
"2026-03-20 00:40:00","2026-03-20 00:29:00","-11","70054.70","70019.12","27.316000","8.633000","86786.50","0.00000967","0.000000","0.000000","0","18.683","35.949","35.58"
"2026-03-20 00:40:00","2026-03-20 00:30:00","-10","70074.80","70073.60","66.145000","26.658000","86768.83","0.00000967","0.085000","0.000000","0","39.487","92.803","1.2"
"2026-03-20 00:40:00","2026-03-20 00:31:00","-9","70093.00","70078.46","46.528000","24.188000","86775.34","0.00000965","0.000000","0.000000","0","22.34","70.716","14.54"
"2026-03-20 00:40:00","2026-03-20 00:32:00","-8","70064.70","70089.95","27.449000","33.439000","86785.19","0.00001000","0.000000","0.000000","0","-5.99","60.888","-25.25"
"2026-03-20 00:40:00","2026-03-20 00:33:00","-7","70069.70","70077.47","17.700000","13.708000","86786.33","0.00001018","0.000000","0.000000","0","3.992","31.408","-7.77"
"2026-03-20 00:40:00","2026-03-20 00:34:00","-6","70085.10","70085.50","18.352000","24.456000","86788.32","0.00001018","0.000000","0.000000","0","-6.104","42.808","-0.4"
"2026-03-20 00:40:00","2026-03-20 00:35:00","-5","70061.00","70085.82","17.419000","33.567000","86798.30","0.00001010","0.000000","0.000000","0","-16.148","50.986","-24.82"
"2026-03-20 00:40:00","2026-03-20 00:36:00","-4","70120.00","70094.79","81.574000","17.154000","86801.43","0.00001061","0.000000","0.000000","0","64.42","98.728","25.21"
"2026-03-20 00:40:00","2026-03-20 00:37:00","-3","70028.30","70083.87","33.841000","46.412000","86793.91","0.00001061","0.000000","0.000000","0","-12.571","80.253","-55.57"
"2026-03-20 00:40:00","2026-03-20 00:38:00","-2","70105.20","70057.15","31.320000","14.886000","86789.77","0.00001090","0.000000","0.000000","0","16.434","46.206","48.05"
"2026-03-20 00:40:00","2026-03-20 00:39:00","-1","70153.60","70135.28","143.820000","38.612000","86756.91","0.00001061","0.000000","0.003000","0","105.208","182.432","18.32"
"2026-03-20 00:40:00","2026-03-20 00:40:00","0","70205.80","70188.48","89.943000","18.186000","86751.63","0.00001094","1.130000","0.000000","0","71.757","108.129","17.32"
"2026-03-20 00:40:00","2026-03-20 00:41:00","1","70210.00","70213.08","57.555000","80.805000","86751.12","0.00001094","0.005000","0.000000","0","-23.25","138.36","-3.08"
"2026-03-20 00:40:00","2026-03-20 00:42:00","2","70202.00","70201.58","35.644000","26.355000","86778.65","0.00001171","0.000000","0.000000","0","9.289","61.999","0.42"
"2026-03-20 00:40:00","2026-03-20 00:43:00","3","70186.80","70211.15","37.214000","35.618000","86796.15","0.00001204","0.000000","0.000000","0","1.596","72.832","-24.35"
"2026-03-20 00:40:00","2026-03-20 00:44:00","4","70174.40","70176.18","21.891000","11.033000","86796.47","0.00001222","0.000000","0.000000","0","10.858","32.924","-1.78"
"2026-03-20 00:40:00","2026-03-20 00:45:00","5","70188.40","70176.07","31.230000","14.934000","86785.62","0.00001222","0.008000","0.000000","0","16.296","46.164","12.33"
"2026-03-20 00:40:00","2026-03-20 00:46:00","6","70243.80","70217.97","69.941000","31.567000","86787.17","0.00001186","0.811000","0.000000","0","38.374","101.508","25.83"
"2026-03-20 00:40:00","2026-03-20 00:47:00","7","70237.30","70229.19","31.667000","20.223000","86789.10","0.00001229","0.004000","0.000000","0","11.444","51.89","8.11"
"2026-03-20 00:40:00","2026-03-20 00:48:00","8","70240.00","70237.38","20.975000","28.145000","86785.01","0.00001229","0.004000","0.000000","0","-7.17","49.12","2.62"
"2026-03-20 00:40:00","2026-03-20 00:49:00","9","70223.00","70231.55","24.482000","21.531000","86770.80","0.00001246","0.000000","0.000000","0","2.951","46.013","-8.55"
"2026-03-20 00:40:00","2026-03-20 00:50:00","10","70205.70","70210.53","11.826000","18.732000","86770.75","0.00001276","0.000000","0.000000","0","-6.906","30.558","-4.83"
"2026-03-20 00:40:00","2026-03-20 00:51:00","11","70198.70","70183.97","25.488000","21.208000","86771.80","0.00001257","0.000000","0.000000","0","4.28","46.696","14.73"
"2026-03-20 00:40:00","2026-03-20 00:52:00","12","70224.00","70249.79","66.923000","31.468000","86782.07","0.00001257","0.329000","0.000000","0","35.455","98.391","-25.79"
"2026-03-20 00:40:00","2026-03-20 00:53:00","13","70161.00","70203.55","42.780000","57.722000","86791.77","0.00001222","0.000000","0.000000","0","-14.942","100.502","-42.55"
"2026-03-20 00:40:00","2026-03-20 00:54:00","14","70149.60","70150.08","16.584000","31.654000","86793.16","0.00001228","0.000000","0.000000","0","-15.07","48.238","-0.48"
"2026-03-20 00:40:00","2026-03-20 00:55:00","15","70155.30","70156.42","5.812000","9.076000","86794.11","0.00001228","0.000000","0.000000","0","-3.264","14.888","-1.12"
"2026-03-20 00:40:00","2026-03-20 00:56:00","16","70154.00","70158.81","13.925000","14.869000","86795.89","0.00001184","0.000000","0.000000","0","-0.944","28.794","-4.81"
"2026-03-20 00:40:00","2026-03-20 00:57:00","17","70165.30","70160.40","11.596000","8.158000","86798.38","0.00001198","0.000000","0.000000","0","3.438","19.754","4.9"
"2026-03-20 00:40:00","2026-03-20 00:58:00","18","70195.50","70207.32","138.804000","20.458000","86859.12","0.00001218","0.000000","0.000000","0","118.346","159.262","-11.82"
"2026-03-20 00:40:00","2026-03-20 00:59:00","19","70191.90","70179.25","11.918000","44.108000","86889.43","0.00001218","0.023000","0.000000","0","-32.19","56.026","12.65"
"2026-03-20 00:40:00","2026-03-20 01:00:00","20","70159.90","70189.53","19.634000","46.406000","86887.38","0.00001256","0.000000","0.000000","0","-26.772","66.04","-29.63"
"2026-03-20 00:40:00","2026-03-20 01:01:00","21","70259.40","70189.34","47.771000","40.018000","86904.16","0.00001271","0.002000","0.000000","0","7.753","87.789","70.06"
"2026-03-20 00:40:00","2026-03-20 01:02:00","22","70274.40","70278.25","50.421000","37.931000","86909.77","0.00001271","0.018000","0.000000","0","12.49","88.352","-3.85"
"2026-03-20 00:40:00","2026-03-20 01:03:00","23","70316.50","70322.45","121.855000","40.225000","86915.25","0.00001325","0.098000","0.000000","0","81.63","162.08","-5.95"
"2026-03-20 00:40:00","2026-03-20 01:04:00","24","70271.50","70295.76","22.115000","47.107000","86918.13","0.00001374","0.000000","0.000000","0","-24.992","69.222","-24.26"
"2026-03-20 00:40:00","2026-03-20 01:05:00","25","70290.00","70270.30","17.188000","12.613000","86922.35","0.00001353","0.000000","0.083000","0","4.575","29.801","19.7"
"2026-03-20 00:40:00","2026-03-20 01:06:00","26","70339.90","70322.86","38.601000","25.671000","86921.00","0.00001353","0.000000","0.000000","0","12.93","64.272","17.04"
"2026-03-20 00:40:00","2026-03-20 01:07:00","27","70356.00","70345.68","26.987000","28.056000","86928.11","0.00001344","0.007000","0.000000","0","-1.069","55.043","10.32"
"2026-03-20 00:40:00","2026-03-20 01:08:00","28","70358.80","70374.14","90.616000","51.732000","86925.99","0.00001367","0.087000","0.062000","0","38.884","142.348","-15.34"
"2026-03-20 00:40:00","2026-03-20 01:09:00","29","70343.40","70344.40","23.105000","49.092000","86944.31","0.00001401","0.000000","0.000000","0","-25.987","72.197","-1"
"2026-03-20 00:40:00","2026-03-20 01:10:00","30","70361.10","70330.95","15.745000","20.062000","86948.88","0.00001401","0.000000","0.000000","0","-4.317","35.807","30.15"
"2026-03-21 09:15:00","2026-03-21 08:45:00","-30","70573.20","70582.23","13.489000","35.052000","87262.23","-0.00000591","0.000000","0.000000","0","-21.563","48.541","-9.03"
"2026-03-21 09:15:00","2026-03-21 08:46:00","-29","70572.00","70600.88","33.572000","141.698000","87270.64","-0.00000591","0.000000","0.000000","0","-108.126","175.27","-28.88"
"2026-03-21 09:15:00","2026-03-21 08:47:00","-28","70550.50","70560.55","11.240000","25.931000","87374.71","-0.00000551","0.000000","0.000000","0","-14.691","37.171","-10.05"
"2026-03-21 09:15:00","2026-03-21 08:48:00","-27","70537.10","70539.96","13.261000","16.227000","87377.17","-0.00000560","0.048000","0.002000","0","-2.966","29.488","-2.86"
"2026-03-21 09:15:00","2026-03-21 08:49:00","-26","70532.30","70538.77","3.654000","9.446000","87376.50","-0.00000560","0.000000","0.000000","0","-5.792","13.1","-6.47"
"2026-03-21 09:15:00","2026-03-21 08:50:00","-25","70549.90","70539.98","18.887000","4.364000","87377.05","-0.00000581","0.000000","0.000000","0","14.523","23.251","9.92"
"2026-03-21 09:15:00","2026-03-21 08:51:00","-24","70549.30","70556.73","8.024000","8.575000","87375.50","-0.00000612","0.000000","0.000000","0","-0.551","16.599","-7.43"
"2026-03-21 09:15:00","2026-03-21 08:52:00","-23","70557.80","70547.44","15.916000","13.869000","87383.65","-0.00000572","0.000000","0.000000","0","2.047","29.785","10.36"
"2026-03-21 09:15:00","2026-03-21 08:53:00","-22","70566.70","70560.52","17.746000","4.140000","87387.65","-0.00000572","0.000000","0.000000","0","13.606","21.886","6.18"
"2026-03-21 09:15:00","2026-03-21 08:54:00","-21","70546.00","70552.40","8.007000","17.103000","87394.93","-0.00000528","0.000000","0.000000","0","-9.096","25.11","-6.4"
