source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 00:50:00+00:00,long,3of3_fail,multi_condition,110,2026-03-24 00:50:00,1,21.05,22.23,0.947,70754.150144,69866,,71190.028623,122.55165,69610.0
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 00:51:00+00:00,short,direction_mismatch,single_condition,112,2026-03-24 00:51:00,1,-44.84,48.69,0.921,70775.427963,69868,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 01:20:00+00:00,long,direction_mismatch,single_condition,114,2026-03-24 01:20:00,1,61.93,66.84,0.926,70752.979508,69895,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 01:32:00+00:00,short,direction_mismatch,single_condition,116,2026-03-24 01:32:00,1,-49.63,109.47,0.453,70667.628017,69903,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 01:45:00+00:00,short,vwap_side,single_condition,118,2026-03-24 01:45:00,1,-61.08,62.56,0.976,70589.16041,69912,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 02:35:00+00:00,long,direction_mismatch,single_condition,120,2026-03-24 02:35:00,1,77.48,138.95,0.558,70803.567229,69971,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 02:50:00+00:00,short,direction_mismatch,single_condition,122,2026-03-24 02:50:00,1,-89.58,96.48,0.928,70404.576986,69995,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 06:16:00+00:00,long,direction_mismatch,single_condition,124,2026-03-24 06:16:00,1,31.06,46.2,0.672,70197.257929,70144,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 07:00:00+00:00,long,3of3_fail,multi_condition,126,2026-03-24 07:00:00,1,33.46,38.4,0.871,70284.151925,70169,,70197.257929,46.19625,70144.0
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 07:25:00+00:00,short,direction_mismatch,single_condition,128,2026-03-24 07:25:00,1,-149.7,164.13,0.912,70370.422886,70199,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 08:08:00+00:00,long,direction_mismatch,single_condition,130,2026-03-24 08:08:00,1,43.24,54.83,0.789,70744.488895,70243,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 12:00:00+00:00,short,direction_mismatch,single_condition,132,2026-03-24 12:00:00,1,-22.63,33.7,0.671,71279.042463,70688,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 13:49:00+00:00,short,vwap_side,single_condition,134,2026-03-24 13:49:00,1,-35.98,46.91,0.767,70894.667935,70788,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 14:09:00+00:00,short,3of3_fail,multi_condition,136,2026-03-24 14:09:00,1,-45.99,60.99,0.754,70816.640317,70822,,70894.667935,46.90717,70788.0
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 14:45:00+00:00,short,3of3_fail,multi_condition,138,2026-03-24 14:45:00,1,-122.67,153.09,0.801,70305.690792,70836,,70816.640317,60.98832,70822.0
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 15:35:00+00:00,long,direction_mismatch,single_condition,140,2026-03-24 15:35:00,1,29.79,38.57,0.772,70109.758917,70783,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 16:02:00+00:00,long,vwap_side,single_condition,142,2026-03-24 16:02:00,1,41.64,67.93,0.613,69984.95155,70697,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 16:23:00+00:00,long,vwap_side,single_condition,144,2026-03-24 16:23:00,1,60.91,103.41,0.589,70161.905997,70645,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 16:24:00+00:00,long,vwap_side,single_condition,146,2026-03-24 16:24:00,1,65.13,118.37,0.55,70185.020007,70642,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 18:45:00+00:00,short,direction_mismatch,single_condition,148,2026-03-24 18:45:00,1,-134.81,178.35,0.756,69007.932575,70482,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 20:05:00+00:00,long,direction_mismatch,single_condition,150,2026-03-24 20:05:00,1,38.33,57.23,0.67,69543.127905,70394,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 21:22:00+00:00,long,vwap_side,single_condition,152,2026-03-24 21:22:00,1,39.13,66.79,0.586,69785.1341,70337,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 21:26:00+00:00,long,vwap_side,single_condition,154,2026-03-24 21:26:00,1,104.33,113.8,0.917,70003.661019,70333,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 23:25:00+00:00,short,direction_mismatch,single_condition,156,2026-03-24 23:25:00,1,-37.68,40.66,0.927,70433.712946,70304,,,,
2026-03-24,CANDIDATE_COMPARISON_REJECT,2026-03-24 23:26:00+00:00,short,vwap_side,single_condition,158,2026-03-24 23:26:00,1,-51.42,67.54,0.761,70402.028515,70304,,,,
