ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,interesting_reject_flag,interesting_reject_bucket,interesting_reject_note,interesting_rule_id
2026-03-24 00:50:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,21.05,22.23,0.947,70754.150144,69866.0,,2026-03-24 00:50:00,85502.23,4.193e-05,0.0,0.0,2026-03-24.jsonl,True,7384.6749999999965,420.3609999999999,13.886000000000422,32.10000000000582,-99.39999999999418,888.1501439999993,888.1501439999993,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 00:51:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-44.84,48.69,0.921,70775.427963,69868.0,,2026-03-24 00:51:00,85493.4,4.278e-05,0.028,0.0,2026-03-24.jsonl,True,7326.303999999996,375.8239999999996,-31.799999999999272,43.0,-87.89999999999418,907.4279629999946,907.4279629999946,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 01:20:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,61.93,66.84,0.926,70752.979508,69895.0,,2026-03-24 01:20:00,85528.14,4.847e-05,0.001,0.002,2026-03-24.jsonl,True,7062.097999999995,336.0699999999997,-269.35300000000007,12.80000000000291,-194.40000000000873,857.979508000004,857.979508000004,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 01:32:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-49.63,109.47,0.453,70667.628017,69903.0,,2026-03-24 01:32:00,85455.74,5.235e-05,0.0,0.0,2026-03-24.jsonl,True,7094.003999999996,573.6569999999992,-26.789999999999964,282.1000000000058,177.0,764.6280169999955,764.6280169999955,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 01:45:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-61.08,62.56,0.976,70589.16041,69912.0,,2026-03-24 01:45:00,85248.07,4.712e-05,0.002,0.784,2026-03-24.jsonl,True,6815.035999999996,180.3040000000001,-187.10099999999966,-438.59999999999127,-200.89999999999418,677.1604099999968,677.1604099999968,above,1,possible_trap_or_false_break,local directional pressure but broader context does not confirm,IR_E1
2026-03-24 02:35:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,77.48,138.95,0.558,70803.567229,69971.0,,2026-03-24 02:35:00,85241.18,4.116e-05,0.0,0.0,2026-03-24.jsonl,True,6682.258,18.682000000003427,-269.0239999999967,79.59999999999127,-232.1999999999971,832.567228999993,832.567228999993,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 02:50:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-89.58,96.48,0.928,70404.576986,69995.0,,2026-03-24 02:50:00,85361.36,3.704e-05,0.0,0.0,2026-03-24.jsonl,True,6704.515999999999,123.24300000000312,308.08800000000247,-18.69999999999709,97.89999999999418,409.57698600000003,409.57698600000003,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 06:16:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,31.06,46.2,0.672,70197.257929,70144.0,,2026-03-24 06:16:00,85459.97,2.28e-05,0.0,0.0,2026-03-24.jsonl,True,5322.6720000000005,-809.7029999999995,538.1679999999988,98.59999999999127,182.89999999999418,53.25792899999942,53.25792899999942,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-24 07:00:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,33.46,38.4,0.871,70284.151925,70169.0,,2026-03-24 07:00:00,85525.55,3.072e-05,0.0,0.0,2026-03-24.jsonl,True,6513.8110000000015,-594.242000000002,258.4930000000013,71.89999999999418,258.29999999998836,115.1519249999983,115.1519249999983,above,1,possible_continuation_pressure,3of3 fail despite supportive medium-horizon pressure,IR_C2
2026-03-24 07:25:00,2026-03-24,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-149.7,164.13,0.912,70370.422886,70199.0,,2026-03-24 07:25:00,85706.97,3.087e-05,0.0,0.0,2026-03-24.jsonl,True,7328.7670000000035,84.6880000000001,811.4930000000031,135.89999999999418,566.5999999999913,171.4228860000003,171.4228860000003,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
