source_date,ts,delta,abs_delta,price,rolling_max,rolling_min,threshold_abs_delta,is_owner_max,is_owner_min,Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic
2026-03-24,2026-03-24 00:34:00+00:00,107.066,107.066,70550.0,131.15200000000004,-189.348,65.13,False,False,2026-03-24 00:34:00,70526.5,70590.2,70526.5,70550.0,190.152,1262,148.609,41.543,70551.06,85530.84,3.42e-05,0.0,0.0,0
2026-03-24,2026-03-24 00:39:00+00:00,-100.33800000000001,100.33800000000001,70490.3,131.15200000000004,-189.348,65.13,False,False,2026-03-24 00:39:00,70650.5,70650.5,70480.0,70490.3,141.926,2094,20.794,121.132,70540.71,85496.69,3.7e-05,0.0,0.0,0
2026-03-24,2026-03-24 00:41:00+00:00,78.57499999999999,78.57499999999999,70629.2,131.15200000000004,-189.348,65.13,False,False,2026-03-24 00:41:00,70534.3,70633.2,70481.6,70629.2,148.311,2590,113.443,34.868,70552.8,85477.88,3.701e-05,0.0,0.0,0
2026-03-24,2026-03-24 01:10:00+00:00,-118.554,118.554,70584.5,131.15200000000004,-189.348,65.13,False,False,2026-03-24 01:10:00,70589.8,70604.0,70546.0,70584.5,146.908,977,14.177,132.731,70578.48,85498.58,4.486e-05,0.0,0.0,0
2026-03-24,2026-03-24 01:35:00+00:00,97.036,97.036,70765.4,131.15200000000004,-189.348,65.13,False,False,2026-03-24 01:35:00,70687.8,70779.0,70680.1,70765.4,169.776,1705,133.406,36.37,70722.51,85407.17,5.155e-05,0.0,0.0,0
2026-03-24,2026-03-24 01:40:00+00:00,-141.36900000000003,141.36900000000003,70419.3,131.15200000000004,-189.348,65.13,False,False,2026-03-24 01:40:00,70631.7,70640.7,70400.9,70419.3,353.265,3903,105.948,247.317,70489.73,85393.12,4.915e-05,0.0,2.166,0
2026-03-24,2026-03-24 01:42:00+00:00,-81.221,81.221,70386.8,131.15200000000004,-189.348,65.13,False,False,2026-03-24 01:42:00,70443.7,70443.8,70333.1,70386.8,233.247,2670,76.013,157.234,70376.1,85260.58,4.841e-05,0.0,0.036,0
2026-03-24,2026-03-24 02:04:00+00:00,126.743,126.743,70604.7,131.15200000000004,-260.441,65.13,False,False,2026-03-24 02:04:00,70493.3,70668.7,70493.3,70604.7,232.375,2543,179.559,52.816,70596.96,85268.18,4.361e-05,0.027,0.004,0
2026-03-24,2026-03-24 02:35:00+00:00,-115.33,115.33,70533.2,131.15200000000004,-260.441,65.13,False,False,2026-03-24 02:35:00,70500.5,70551.8,70477.4,70533.2,151.144,1024,17.907,133.237,70530.91,85241.18,4.116e-05,0.0,0.0,0
2026-03-24,2026-03-24 02:37:00+00:00,79.33699999999999,79.33699999999999,70605.9,131.15200000000004,-260.441,65.13,False,False,2026-03-24 02:37:00,70581.1,70606.0,70556.6,70605.9,129.221,1075,104.279,24.942,70590.04,85321.82,4.167e-05,0.004,0.0,0
