source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,price_now,ema50_now,vwap_now,chop30,coh10,chop30_max,coh10_min,prev_price,prev_vol,prev_vwap,imb_min,imb_max
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 04:26:00+00:00,short,direction_mismatch,single_condition,46,2026-03-22 04:26:00,1,-28.76,37.05,0.776,69309.07747,70017.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_GATE_REJECT,2026-03-22 07:18:00+00:00,short,chop_coh,multi_condition,48,2026-03-22 07:18:00,1,,,0.979,,,,69102.0,69169.08206429565,69908.0,3.9,0.122,3.0,0.3,,,,,
2026-03-22,CANDIDATE_GATE_REJECT,2026-03-22 09:27:00+00:00,short,chop_coh,multi_condition,50,2026-03-22 09:27:00,1,,,0.838,,,,68764.0,68936.32344075893,69749.0,4.09,0.476,3.0,0.3,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 09:36:00+00:00,short,vwap_distance,single_condition,52,2026-03-22 09:36:00,1,-89.91,105.42,0.853,68565.852482,69720.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 12:18:00+00:00,long,direction_mismatch,single_condition,54,2026-03-22 12:18:00,1,19.46,24.0,0.811,68650.723992,69567.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 13:18:00+00:00,long,vwap_side,single_condition,56,2026-03-22 13:18:00,1,49.68,80.82,0.615,68419.710888,69464.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 16:21:00+00:00,long,vwap_side,single_condition,58,2026-03-22 16:21:00,1,34.95,39.58,0.883,68950.054935,69325.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 18:38:00+00:00,short,direction_mismatch,single_condition,60,2026-03-22 18:38:00,1,-22.15,25.71,0.862,68727.026117,69215.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 18:45:00+00:00,short,3of3_fail,multi_condition,62,2026-03-22 18:45:00,1,-23.66,25.18,0.94,68676.897882,69208.0,,,,,,,,,68727.026117,25.70889,69215.0,,
2026-03-22,CANDIDATE_GATE_REJECT,2026-03-22 20:15:00+00:00,short,imb_band,single_condition,64,2026-03-22 20:15:00,1,,,0.782,,,,68332.0,68541.93629233113,69146.0,2.64,0.619,,,,,,0.54,0.69
2026-03-22,CANDIDATE_GATE_REJECT,2026-03-22 20:48:00+00:00,short,chop_coh,multi_condition,66,2026-03-22 20:48:00,1,,,0.742,,,,68238.0,68399.05907086388,69126.0,4.43,0.596,3.0,0.3,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 22:06:00+00:00,short,vwap_distance,single_condition,68,2026-03-22 22:06:00,1,-233.56,591.2,0.395,67813.550816,69044.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 22:07:00+00:00,long,direction_mismatch,single_condition,70,2026-03-22 22:07:00,1,23.61,56.36,0.419,67747.136435,69040.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 23:10:00+00:00,long,vwap_side,single_condition,72,2026-03-22 23:10:00,1,27.78,35.97,0.772,68069.058526,68882.0,,,,,,,,,,,,,
2026-03-22,CANDIDATE_COMPARISON_REJECT,2026-03-22 23:23:00+00:00,long,vwap_side,single_condition,74,2026-03-22 23:23:00,1,28.55,57.7,0.495,68147.005353,68862.0,,,,,,,,,,,,,
