ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,interesting_reject_flag,interesting_reject_bucket,interesting_reject_note,interesting_rule_id
2026-03-22 04:26:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-28.76,37.05,0.776,69309.07747,70017.0,,2026-03-22 04:26:00,87552.5,-7.358e-05,0.0,0.025,2026-03-22.jsonl,True,-3473.5830000000033,775.4279999999985,283.4089999999983,-148.3000000000029,-72.10000000000582,-707.9225299999962,707.9225299999962,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-22 12:18:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,19.46,24.0,0.811,68650.723992,69567.0,,2026-03-22 12:18:00,88346.91,-9.67e-05,1.729,0.0,2026-03-22.jsonl,True,-5740.179000000003,-1331.7210000000014,-1345.494999999999,213.39999999999418,-151.8000000000029,-916.2760080000007,916.2760080000007,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-22 13:18:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,vwap_side,49.68,80.82,0.615,68419.710888,69464.0,,2026-03-22 13:18:00,87995.74,-9.371e-05,0.0,0.0,2026-03-22.jsonl,True,-5424.469000000006,-613.9850000000051,653.7639999999965,-90.0,311.0,-1044.2891119999986,1044.2891119999986,below,1,possible_trap_or_false_break,local directional pressure but broader context does not confirm,IR_E1
2026-03-22 16:21:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,vwap_side,34.95,39.58,0.883,68950.054935,69325.0,,2026-03-22 16:21:00,87793.61,-6.485e-05,0.0,0.0,2026-03-22.jsonl,True,-5016.070000000014,238.18799999999283,-273.01800000000185,-100.09999999999127,-182.6999999999971,-374.94506500000716,374.94506500000716,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-22 18:38:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-22.15,25.71,0.862,68727.026117,69215.0,,2026-03-22 18:38:00,87435.41,-3.944e-05,0.0,0.0,2026-03-22.jsonl,True,-5796.641000000017,-708.4830000000047,-487.77099999999973,-217.40000000000873,-233.90000000000873,-487.97388299999875,487.97388299999875,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-22 18:45:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-23.66,25.18,0.94,68676.897882,69208.0,,2026-03-22 18:45:00,87410.31,-3.552e-05,0.0,0.0,2026-03-22.jsonl,True,-5889.163000000017,-548.2100000000055,-354.2450000000008,-229.60000000000582,-208.70000000001164,-531.1021179999952,531.1021179999952,below,1,possible_continuation_pressure,3of3 fail despite supportive medium-horizon pressure,IR_C2
2026-03-22 22:07:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,23.61,56.36,0.419,67747.136435,69040.0,,2026-03-22 22:07:00,86483.74,-2.679e-05,0.026,0.0,2026-03-22.jsonl,True,-6971.194000000011,-879.0949999999948,1213.9360000000024,111.19999999999709,125.90000000000873,-1292.863565000007,1292.863565000007,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-22 23:10:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,vwap_side,27.78,35.97,0.772,68069.058526,68882.0,,2026-03-22 23:10:00,86605.0,-2.384e-05,0.0,0.0,2026-03-22.jsonl,True,-6621.017000000014,-552.0269999999991,174.04499999999734,6.5,158.40000000000873,-812.9414740000066,812.9414740000066,below,1,possible_trap_or_false_break,local directional pressure but broader context does not confirm,IR_E1
2026-03-22 23:23:00,2026-03-22,CANDIDATE_COMPARISON_REJECT,long,vwap_side,28.55,57.7,0.495,68147.005353,68862.0,,2026-03-22 23:23:00,86571.57,-2.338e-05,0.0,0.0,2026-03-22.jsonl,True,-6290.294000000014,-830.3309999999983,53.24799999999868,-58.19999999999709,-1.3000000000029104,-714.9946469999995,714.9946469999995,below,1,possible_trap_or_false_break,local directional pressure but broader context does not confirm,IR_E1
