source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 00:01:00+00:00,short,direction_mismatch,single_condition,424,2026-04-01 00:01:00,1,-54.19,73.47,0.738,68259.475599,67324,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 01:00:00+00:00,short,vwap_side,single_condition,426,2026-04-01 01:00:00,1,-98.94,106.49,0.929,68175.132876,67359,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 04:01:00+00:00,long,direction_mismatch,single_condition,428,2026-04-01 04:01:00,1,130.25,148.95,0.874,67857.281926,67470,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 04:15:00+00:00,long,3of3_fail,multi_condition,430,2026-04-01 04:15:00,1,142.44,162.25,0.878,67804.912206,67477,,67857.281926,148.95423,67470.0
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 04:35:00+00:00,short,direction_mismatch,single_condition,432,2026-04-01 04:35:00,1,-61.27,65.53,0.935,67617.16388,67462,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 06:25:00+00:00,short,vwap_side,single_condition,434,2026-04-01 06:25:00,1,-77.95,91.49,0.852,68133.865799,67467,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 07:18:00+00:00,long,direction_mismatch,single_condition,436,2026-04-01 07:18:00,1,104.94,143.48,0.731,68482.608847,67481,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 09:32:00+00:00,long,vwap_distance,single_condition,438,2026-04-01 09:32:00,1,113.72,140.63,0.809,68935.096454,67625,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 09:46:00+00:00,short,direction_mismatch,single_condition,440,2026-04-01 09:46:00,1,-83.26,87.53,0.951,68878.210624,67648,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 10:17:00+00:00,short,vwap_side,single_condition,442,2026-04-01 10:17:00,1,-90.91,128.73,0.706,68441.438964,67689,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 12:45:00+00:00,short,vwap_side,single_condition,444,2026-04-01 12:45:00,1,-147.06,155.49,0.946,68485.090338,67856,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 13:00:00+00:00,long,direction_mismatch,single_condition,446,2026-04-01 13:00:00,1,159.93,171.74,0.931,68585.582773,67896,,,,
2026-04-01,CANDIDATE_COMPARISON_REJECT,2026-04-01 17:24:00+00:00,long,3of3_fail,multi_condition,448,2026-04-01 17:24:00,1,61.97,76.21,0.813,68735.594327,68180,,68585.582773,171.74088999999998,67896.0
