source_date,ts,delta,abs_delta,price,rolling_max,rolling_min,threshold_abs_delta,is_owner_max,is_owner_min,Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic
2026-03-19,2026-03-19 03:20:00+00:00,350.081,350.081,71535.6,358.43399999999997,-114.466,84.08749999999999,False,False,2026-03-19 03:20:00,71418.8,71598.3,71414.3,71535.6,954.137,5859,652.109,302.028,71520.66,86315.41,1.423e-05,3.884,0.0,0
2026-03-19,2026-03-19 03:29:00+00:00,105.582,105.582,71516.9,358.43399999999997,-114.466,84.08749999999999,False,False,2026-03-19 03:29:00,71442.0,71550.0,71437.0,71516.9,188.012,1757,146.797,41.215,71513.37,86222.86,1.232e-05,1.21,0.0,0
2026-03-19,2026-03-19 03:33:00+00:00,-93.749,93.749,71335.9,358.43399999999997,-114.466,84.08749999999999,False,False,2026-03-19 03:33:00,71392.9,71406.9,71312.7,71335.9,175.061,2029,40.656,134.405,71351.3,86348.27,1.216e-05,0.0,0.002,0
2026-03-19,2026-03-19 04:26:00+00:00,-163.199,163.199,70687.6,358.43399999999997,-521.996,84.08749999999999,False,False,2026-03-19 04:26:00,70741.6,70741.6,70625.9,70687.6,395.989,3090,116.395,279.594,70673.44,86358.62,7.35e-06,0.0,0.26,0
2026-03-19,2026-03-19 04:31:00+00:00,-137.804,137.804,70646.2,358.43399999999997,-521.996,84.08749999999999,False,False,2026-03-19 04:31:00,70699.9,70700.0,70646.2,70646.2,214.27,2176,38.233,176.037,70677.42,86422.69,6.26e-06,0.0,0.0,0
2026-03-19,2026-03-19 04:34:00+00:00,92.329,92.329,70741.2,358.43399999999997,-521.996,84.08749999999999,False,False,2026-03-19 04:34:00,70727.5,70767.0,70727.5,70741.2,172.905,1482,132.617,40.288,70748.62,86397.57,6.53e-06,0.0,0.0,0
2026-03-19,2026-03-19 04:39:00+00:00,126.476,126.476,70768.7,358.43399999999997,-521.996,84.08749999999999,False,False,2026-03-19 04:39:00,70764.2,70807.2,70746.9,70768.7,333.68,1849,230.078,103.602,70785.23,86338.74,6.54e-06,0.012,0.0,0
2026-03-19,2026-03-19 05:29:00+00:00,-121.03699999999999,121.03699999999999,70653.6,358.43399999999997,-521.996,84.08749999999999,False,False,2026-03-19 05:29:00,70744.4,70744.5,70643.5,70653.6,149.569,1140,14.266,135.303,70696.63,86598.76,6.43e-06,0.0,0.133,0
2026-03-19,2026-03-19 06:35:00+00:00,-156.09300000000002,156.09300000000002,70603.4,126.476,-521.996,84.08749999999999,False,False,2026-03-19 06:35:00,70602.4,70630.0,70550.6,70603.4,366.497,2350,105.202,261.295,70590.01,86685.57,2.13e-06,0.0,0.133,0
2026-03-19,2026-03-19 06:38:00+00:00,-110.78,110.78,70555.9,126.476,-521.996,84.08749999999999,False,False,2026-03-19 06:38:00,70588.3,70592.6,70522.6,70555.9,225.84,1665,57.53,168.31,70551.07,86717.83,1.75e-06,0.0,0.0,0
