ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,interesting_reject_flag,interesting_reject_bucket,interesting_reject_note,interesting_rule_id
2026-04-03 01:00:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-56.05,106.53,0.526,67006.850821,66828.0,,2026-04-03 01:00:00,90453.14,6.2e-06,0.0,0.0,2026-04-03.jsonl,True,-8256.878999999999,-436.4840000000004,-363.60399999999663,-11.19999999999709,-106.69999999999709,178.850821,178.850821,above,1,possible_reversal_confirmation,supportive 60m/180m flow and 15m return context despite reject,IR_B1
2026-04-03 01:01:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,97.28,105.21,0.925,66982.618942,66828.0,,2026-04-03 01:01:00,90464.31,7.18e-06,0.004,0.0,2026-04-03.jsonl,True,-8201.822,-411.08200000000033,-360.6979999999967,22.60000000000582,-152.39999999999418,154.61894200000097,154.61894200000097,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 02:40:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-59.08,68.03,0.868,66847.084431,66789.0,,2026-04-03 02:40:00,90475.45,1.316e-05,0.0,0.643,2026-04-03.jsonl,True,-6468.4509999999955,-1720.268999999993,-1352.595999999995,-347.6000000000058,-213.60000000000582,58.084430999995675,58.084430999995675,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 06:33:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,45.51,47.81,0.952,66528.303048,66625.0,,2026-04-03 06:33:00,90570.16,9.07e-06,0.0,0.0,2026-04-03.jsonl,True,-5051.371000000016,177.137999999979,12.9679999999953,-23.5,-110.39999999999418,-96.69695199999842,96.69695199999842,below,1,possible_reversal_onset,direction_mismatch with supportive 60m flow but weak/contrary 15m return,IR_A1
2026-04-03 09:36:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,38.83,75.32,0.516,67168.230139,66649.0,,2026-04-03 09:36:00,90354.0,-1.072e-05,0.003,0.0,2026-04-03.jsonl,True,-4341.053000000015,577.9780000000028,-760.180999999995,24.29999999998836,-277.8000000000029,519.2301390000066,519.2301390000066,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 09:55:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-107.95,117.33,0.92,67063.569863,66657.0,,2026-04-03 09:55:00,90306.1,-7.22e-06,0.0,0.0,2026-04-03.jsonl,True,-4039.913000000014,540.6060000000052,-442.68699999999535,-19.5,-130.6999999999971,406.569862999997,406.569862999997,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 10:58:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,57.88,60.79,0.952,66973.550564,66670.0,,2026-04-03 10:58:00,90199.53,-4.45e-06,0.0,0.0,2026-04-03.jsonl,True,-3728.732000000009,-646.8469999999879,29.17000000000553,92.40000000000873,17.0,303.55056400000467,303.55056400000467,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 14:24:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,27.25,35.37,0.77,66953.504209,66714.0,,2026-04-03 14:24:00,90460.7,5.93e-06,0.0,0.0,2026-04-03.jsonl,True,-124.28999999998996,-679.0789999999834,-338.7979999999934,58.30000000000291,123.5,239.50420900000609,239.50420900000609,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 14:31:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-21.19,289.34,0.073,67190.648106,66723.0,,2026-04-03 14:31:00,90352.32,8.61e-06,0.0,0.0,2026-04-03.jsonl,True,309.2300000000105,-520.5339999999833,377.695000000007,135.60000000000582,239.3000000000029,467.6481059999933,467.6481059999933,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-04-03 14:51:00,2026-04-03,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-39.65,59.93,0.662,66710.460498,66727.0,,2026-04-03 14:51:00,90429.9,1.69e-06,0.0,0.001,2026-04-03.jsonl,True,-919.0689999999931,-737.6399999999876,688.2100000000028,52.69999999999709,382.5,-16.53950199999963,16.53950199999963,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
