ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,interesting_reject_flag,interesting_reject_bucket,interesting_reject_note,interesting_rule_id
2026-03-20 00:45:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,18.75,26.96,0.696,69832.326701,70090.0,,2026-03-20 00:45:00,86785.62,1.222e-05,0.008,0.0,2026-03-20.jsonl,True,-8361.36899999997,-202.07399999999507,680.3180000000048,113.59999999999127,369.3999999999942,-257.67329900000186,257.67329900000186,below,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 01:11:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,vwap_side,93.04,113.51,0.82,70059.747653,70073.0,,2026-03-20 01:11:00,86915.8,1.348e-05,0.427,0.0,2026-03-20.jsonl,True,-8077.770999999971,56.87300000000323,838.6540000000023,207.10000000000582,274.0,-13.252347000001464,13.252347000001464,below,1,possible_reversal_confirmation,supportive 60m/180m flow and 15m return context despite reject,IR_B1
2026-03-20 01:36:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,189.62,191.03,0.993,70126.443466,70060.0,,2026-03-20 01:36:00,86894.46,1.1e-05,0.0,0.0,2026-03-20.jsonl,True,-7994.057999999971,597.9470000000001,686.601999999999,38.80000000000291,266.8000000000029,66.44346599999699,66.44346599999699,above,1,possible_reversal_confirmation,supportive 60m/180m flow and 15m return context despite reject,IR_B1
2026-03-20 02:00:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-40.11,53.03,0.756,70202.663967,70048.0,,2026-03-20 02:00:00,86930.95,8.15e-06,0.0,0.0,2026-03-20.jsonl,True,-8130.690999999972,1069.9969999999994,354.5979999999972,-169.5,211.0,154.6639670000004,154.6639670000004,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 04:51:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,81.13,90.95,0.892,70690.745763,69994.0,,2026-03-20 04:51:00,87116.46,2.5e-06,0.0,0.0,2026-03-20.jsonl,True,-7118.229999999974,798.1049999999959,538.3669999999975,29.20000000001164,-42.59999999999127,696.745762999999,696.745762999999,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 07:05:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-72.7,90.36,0.805,70605.999588,69965.0,,2026-03-20 07:05:00,87279.82,3.8e-07,0.0,0.0,2026-03-20.jsonl,True,-5795.873999999971,-249.03599999999824,-558.0179999999982,-178.8000000000029,-268.6000000000058,640.999588000006,640.999588000006,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 08:36:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,102.56,132.62,0.773,70652.483144,69966.0,,2026-03-20 08:36:00,87539.29,4.13e-06,0.0,0.0,2026-03-20.jsonl,True,2022.896000000036,1232.8750000000055,1084.8070000000007,13.5,568.0999999999913,686.483143999998,686.483143999998,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 12:07:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,29.23,33.12,0.883,70739.696741,70037.0,,2026-03-20 12:07:00,86570.19,-2.564e-05,0.047,0.0,2026-03-20.jsonl,True,2739.2850000000335,-526.1799999999985,-443.2519999999977,233.79999999998836,-151.60000000000582,702.696741000007,702.696741000007,above,1,possible_trap_or_false_break,short-term continuation pressure against contrary medium-horizon context,IR_E2
2026-03-20 13:32:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-99.33,147.67,0.673,70403.518248,70055.0,,2026-03-20 13:32:00,86969.89,-2.835e-05,0.0,2.064,2026-03-20.jsonl,True,2418.99600000003,-389.37299999999505,-517.0079999999989,-280.8000000000029,-288.1999999999971,348.51824799999304,348.51824799999304,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
2026-03-20 16:17:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,94.87,109.62,0.865,69803.683059,70127.0,,2026-03-20 16:17:00,86904.33,3.79e-06,0.0,0.0,2026-03-20.jsonl,True,4495.361000000025,1632.2320000000009,1644.5680000000011,-5.399999999994179,238.6999999999971,-323.3169409999973,323.3169409999973,below,1,possible_reversal_onset,direction_mismatch with supportive 60m flow but weak/contrary 15m return,IR_A1
2026-03-20 22:39:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-21.24,29.65,0.716,70584.30313,70268.0,,2026-03-20 22:39:00,86823.68,-1.326e-05,0.0,0.0,2026-03-20.jsonl,True,5313.113999999999,1498.0109999999995,-4.122999999998683,-57.39999999999418,151.1999999999971,316.30313000000024,316.30313000000024,above,1,unclear_but_constructive,contextually non-trivial reject retained for review,IR_F1
