ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side
2026-03-20 00:45:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,18.75,26.96,0.696,69832.326701,70090.0,,2026-03-20 00:45:00,2026-03-20.jsonl,True,-121.75224999999998,-121.75224999999998,-121.75224999999998,-299.0,,-257.67329900000186,257.67329900000186,below
2026-03-20 01:11:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,vwap_side,93.04,113.51,0.82,70059.747653,70073.0,,2026-03-20 01:11:00,2026-03-20.jsonl,True,-37.97867000000005,-37.97867000000005,-45.19016000000005,178.0,-70.0,-13.252347000001464,13.252347000001464,below
2026-03-20 01:36:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,189.62,191.03,0.993,70126.443466,70060.0,,2026-03-20 01:36:00,2026-03-20.jsonl,True,171.22045999999997,171.22045999999997,254.77476999999996,36.0,164.0,66.44346599999699,66.44346599999699,above
2026-03-20 02:00:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-40.11,53.03,0.756,70202.663967,70048.0,,2026-03-20 02:00:00,2026-03-20.jsonl,True,125.4336799999999,125.4336799999999,253.06538999999992,-40.0,251.0,154.6639670000004,154.6639670000004,above
2026-03-20 04:51:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,81.13,90.95,0.892,70690.745763,69994.0,,2026-03-20 04:51:00,2026-03-20.jsonl,True,409.0766499999998,247.03011999999987,143.19830999999988,135.0,397.0,696.745762999999,696.745762999999,above
2026-03-20 07:05:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-72.7,90.36,0.805,70605.999588,69965.0,,2026-03-20 07:05:00,2026-03-20.jsonl,True,488.92824999999976,205.29463999999984,-22.297060000000045,-81.0,-196.0,640.999588000006,640.999588000006,above
2026-03-20 08:36:00,2026-03-20,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,102.56,132.62,0.773,70652.483144,69966.0,,2026-03-20 08:36:00,2026-03-20.jsonl,True,373.2803599999998,-119.56412000000006,33.367170000000044,266.0,169.0,686.483143999998,686.483143999998,above
