ts,date,entry,close_reason,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,price_vs_vwap_side,dist_vwap,abs_dist_vwap,delta_sign,price_move_sign,delta_price_alignment_1m,delta_price_efficiency_1m,oi_change_1m,oi_change_pct_60m,oi_change_pct_180m,delta_oi_alignment_flag,price_oi_alignment_flag,liq_total_1m,liq_dominant_side,liq_burst_flag,delta_vs_liq_relation_flag,reference_direction,ret_fwd_5m,ret_fwd_15m,ret_fwd_30m,ret_fwd_60m,favorable_max_5m,adverse_max_5m,favorable_max_15m,adverse_max_15m,favorable_max_30m,adverse_max_30m,favorable_max_60m,adverse_max_60m,same_side_event_count_prev_5m,same_side_event_count_prev_15m,minutes_since_prev_same_side_event,minutes_since_prev_same_side_peak_emit,pre_emit_price_move_5m,pre_emit_price_move_15m,pre_emit_delta_sum_5m,pre_emit_delta_sum_15m
2026-03-20 00:40:00,2026-03-20,69828.18,SL,-8341.59299999997,-243.92799999999534,526.4170000000013,240.60000000000582,509.6000000000058,below,-269.56476900000416,269.56476900000416,positive,up,aligned,0.7274551611689046,-5.279999999998836,0.45901639344262296,0.5082872928176796,opposed,opposed,1.13,buy,True,aligned,up,-17.40000000000873,-50.5,155.3000000000029,322.3000000000029,32.69999999999709,43.5,74.80000000000291,70.30000000000291,194.1999999999971,70.30000000000291,342.1999999999971,70.30000000000291,0,0,,,92.60000000000582,188.40000000000873,157.34300000000002,279.492
2026-03-29 19:23:00,2026-03-29,66187.66,SL,-2424.075999999996,-802.8819999999996,68.98500000000004,8.599999999991269,52.80000000000291,below,-453.26138500000525,453.26138500000525,positive,up,aligned,1.7270244074360093,14.789999999993597,0.9508196721311475,0.9005524861878453,aligned,aligned,0.0,balanced_or_unknown,True,flat_or_unknown,up,-29.39999999999418,-67.19999999999709,-98.69999999999709,186.40000000000873,25.80000000000291,53.30000000000291,31.19999999999709,67.19999999999709,31.19999999999709,117.5,232.1999999999971,140.09999999999127,2,2,1,,-3.3999999999941792,-11.0,15.534000000000006,-18.637
