ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side
2026-04-04 01:20:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,45.75,54.13,0.845,66869.380534,66813.0,,2026-04-04 01:20:00,90409.07,3.451e-05,0.0,0.0,2026-04-04.jsonl,True,-104.28099999999847,18.813000000000102,15.060000000000002,-16.29999999998836,-36.0,56.38053399999626,56.38053399999626,above
2026-04-04 01:26:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-51.58,52.23,0.988,66856.263951,66813.0,,2026-04-04 01:26:00,90406.24,3.476e-05,0.0,0.039,2026-04-04.jsonl,True,-162.56299999999845,2.8630000000001132,-19.959000000000003,-35.60000000000582,-89.30000000000291,43.263951000000816,43.263951000000816,above
2026-04-04 01:51:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,101.98,120.69,0.845,66936.800647,66814.0,,2026-04-04 01:51:00,90445.6,3.239e-05,0.0,0.0,2026-04-04.jsonl,True,249.72600000000148,-130.49299999999977,-73.14999999999986,-2.8999999999941792,-56.29999999998836,122.80064699999639,122.80064699999639,above
2026-04-04 06:55:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,38.58,40.55,0.952,66857.191333,66847.0,,2026-04-04 06:55:00,90127.57,5.231e-05,0.274,0.0,2026-04-04.jsonl,True,1676.688,417.5479999999998,418.75099999999986,127.80000000000291,133.8000000000029,10.191332999995211,10.191332999995211,above
2026-04-04 07:00:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-29.58,43.65,0.678,66860.32244,66849.0,,2026-04-04 07:00:00,90107.5,5.12e-05,0.0,0.0,2026-04-04.jsonl,True,1621.7040000000002,388.6489999999998,399.9379999999998,56.70000000001164,110.60000000000582,11.322440000003553,11.322440000003553,above
2026-04-04 07:15:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-112.16,161.25,0.696,66886.782674,66851.0,,2026-04-04 07:15:00,90156.13,4.819e-05,0.0,0.0,2026-04-04.jsonl,True,1309.996,324.70099999999985,173.8039999999998,-7.80000000000291,47.19999999999709,35.78267400000186,35.78267400000186,above
2026-04-04 07:30:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,47.4,114.21,0.415,66872.02231,66853.0,,2026-04-04 07:30:00,90203.76,4.648e-05,0.0,0.0,2026-04-04.jsonl,True,1159.726,208.76999999999953,132.42499999999973,-52.80000000000291,1.1000000000058208,19.02231000000029,19.02231000000029,above
2026-04-04 09:58:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,61.14,87.24,0.701,67022.858385,66909.0,,2026-04-04 09:58:00,90165.33,2.281e-05,0.0,0.0,2026-04-04.jsonl,True,937.5930000000008,-159.37899999999996,15.371000000000095,10.0,53.10000000000582,113.85838499999954,113.85838499999954,above
2026-04-04 13:10:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,56.41,63.96,0.882,67174.094401,66903.0,,2026-04-04 13:10:00,90621.21,1.389e-05,0.0,0.0,2026-04-04.jsonl,True,1447.429000000001,373.6619999999999,-45.24300000000001,-11.700000000011642,9.69999999999709,271.09440099999483,271.09440099999483,above
2026-04-04 13:11:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-68.73,71.17,0.966,67165.735516,66905.0,,2026-04-04 13:11:00,90620.07,1.381e-05,0.065,0.0,2026-04-04.jsonl,True,1448.144000000001,380.2389999999999,4.2409999999999854,-5.100000000005821,23.89999999999418,260.73551600000064,260.73551600000064,above
2026-04-04 16:40:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,vwap_side,-39.9,55.22,0.722,67138.170475,66938.0,,2026-04-04 16:40:00,91445.91,1.653e-05,0.042,0.0,2026-04-04.jsonl,True,2123.295,514.8249999999996,531.6749999999997,92.5,137.59999999999127,200.17047500000626,200.17047500000626,above
2026-04-04 17:13:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,93.09,183.81,0.506,67424.788538,66963.0,,2026-04-04 17:13:00,92052.93,1.3e-05,0.0,0.0,2026-04-04.jsonl,True,637.4430000000002,-431.1479999999999,-777.2839999999998,-100.59999999999127,8.700000000011642,461.7885379999934,461.7885379999934,above
2026-04-04 20:00:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-30.55,31.13,0.981,67336.406845,67019.0,,2026-04-04 20:00:00,91892.86,2.772e-05,0.0,0.0,2026-04-04.jsonl,True,1066.9700000000005,-1019.1100000000001,216.776,-11.400000000008731,-3.0,317.406845000005,317.406845000005,above
2026-04-04 23:35:00,2026-04-04,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,26.17,27.23,0.961,67271.66048,67059.0,,2026-04-04 23:35:00,91455.32,2.683e-05,0.0,0.0,2026-04-04.jsonl,True,501.3130000000001,353.06600000000003,-27.542,-30.19999999999709,-79.19999999999709,212.66048000000592,212.66048000000592,above
