source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 00:17:00+00:00,long,vwap_side,single_condition,76,2026-03-23 00:17:00,1,34.8,45.35,0.768,68293.848751,68812,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 01:01:00+00:00,long,vwap_side,single_condition,78,2026-03-23 01:01:00,1,67.99,88.73,0.766,67903.381842,68734,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 01:41:00+00:00,short,direction_mismatch,single_condition,80,2026-03-23 01:41:00,1,-21.76,54.25,0.401,67513.763983,68692,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 03:36:00+00:00,short,3of3_fail,multi_condition,82,2026-03-23 03:36:00,1,-40.89,49.14,0.832,68242.56697,68519,,67513.763983,54.2487,68692.0
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 04:31:00+00:00,short,3of3_fail,multi_condition,84,2026-03-23 04:31:00,1,-42.81,48.74,0.878,68165.64639,68491,,68242.56697,49.14367,68519.0
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 06:17:00+00:00,long,direction_mismatch,single_condition,86,2026-03-23 06:17:00,1,81.62,114.22,0.715,68861.337909,68419,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 07:14:00+00:00,short,direction_mismatch,single_condition,88,2026-03-23 07:14:00,1,-89.03,97.53,0.913,68563.209353,68406,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 07:25:00+00:00,long,direction_mismatch,single_condition,90,2026-03-23 07:25:00,1,93.38,115.95,0.805,68590.720151,68404,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 11:01:00+00:00,long,3of3_fail,multi_condition,92,2026-03-23 11:01:00,1,48.23,53.43,0.903,68354.35207,68295,,68590.720151,115.94669,68404.0
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 12:06:00+00:00,long,vwap_distance,soft_fail,94,2026-03-23 12:06:00,1,209.39,693.74,0.302,69357.104465,68332,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 12:15:00+00:00,short,direction_mismatch,single_condition,96,2026-03-23 12:15:00,1,-52.94,159.78,0.331,71054.797245,68699,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 12:16:00+00:00,short,vwap_side,single_condition,98,2026-03-23 12:16:00,1,-79.09,206.13,0.384,71124.696309,68723,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 12:25:00+00:00,short,vwap_side,single_condition,100,2026-03-23 12:25:00,1,-97.54,184.88,0.528,70386.13159,68799,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 12:48:00+00:00,short,vwap_side,single_condition,102,2026-03-23 12:48:00,1,-142.9,239.79,0.596,70266.357824,68932,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 16:26:00+00:00,short,vwap_side,single_condition,104,2026-03-23 16:26:00,1,-54.73,81.43,0.672,70954.840282,69420,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 16:56:00+00:00,short,vwap_side,single_condition,106,2026-03-23 16:56:00,1,-83.46,254.7,0.328,70217.120959,69475,,,,
2026-03-23,CANDIDATE_COMPARISON_REJECT,2026-03-23 20:06:00+00:00,long,direction_mismatch,single_condition,108,2026-03-23 20:06:00,1,87.52,122.55,0.714,71190.028623,69610,,,,
