date,reject_reason,kind,count,cum_delta_60m_mean,cum_delta_60m_median,cum_delta_180m_mean,cum_delta_180m_median,ret_15m_mean,ret_15m_median,ret_60m_mean,ret_60m_median,dist_vwap_mean,dist_vwap_median,abs_dist_vwap_mean,abs_dist_vwap_median,price_vs_vwap_side_mode,price_vs_vwap_side_mode_count
2026-03-23,3of3_fail,long,1,93.255,93.255,-588.511,-588.511,224.6,224.6,273,273,59.3521,59.3521,59.3521,59.3521,above,1
2026-03-23,3of3_fail,short,2,-182.667,-182.667,153.713,153.713,10.5,10.5,-2.35,-2.35,-300.893,-300.893,300.893,300.893,below,2
2026-03-23,direction_mismatch,long,3,-474.122,-234.963,620.358,735.605,-103.3,-143.4,-529.6,-554.8,736.362,442.338,736.362,442.338,above,3
2026-03-23,direction_mismatch,short,3,-1612.21,-1123.95,1055.88,365.566,-32.8,-46.8,-344.3,-650.9,444.924,157.209,1230.41,1178.24,above,2
2026-03-23,vwap_distance,long,1,2440.41,2440.41,2336.71,2336.71,-557.9,-557.9,-127.2,-127.2,1025.1,1025.1,1025.1,1025.1,above,1
2026-03-23,vwap_side,long,2,163.37,163.37,423.073,423.073,-63.75,-63.75,-391.75,-391.75,-674.385,-674.385,674.385,674.385,below,2
2026-03-23,vwap_side,short,5,-432.678,-323.564,2148.05,2713.01,179.54,134,-163.88,-228.2,1520.03,1534.84,1520.03,1534.84,above,5
