source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap,price_now,ema50_now,vwap_now,chop30,coh10,imb_min,imb_max
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 01:42:00+00:00,long,no_prev_peak,single_condition,2,2026-03-18 01:42:00,1,18.8,24.52,0.766,73601.271726,74458.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 01:46:00+00:00,long,vwap_side,single_condition,4,2026-03-18 01:46:00,1,34.93,44.57,0.784,73741.046719,74453.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 01:55:00+00:00,short,direction_mismatch,single_condition,6,2026-03-18 01:55:00,1,-90.65,95.38,0.95,73798.89161,74449.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 02:10:00+00:00,long,direction_mismatch,single_condition,8,2026-03-18 02:10:00,1,49.83,53.06,0.939,73944.38839,74431.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 02:40:00+00:00,long,vwap_side,single_condition,10,2026-03-18 02:40:00,1,58.14,65.94,0.882,74162.020042,74387.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 06:55:00+00:00,short,direction_mismatch,single_condition,12,2026-03-18 06:55:00,1,-55.32,73.06,0.757,73915.48876,74157.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 07:45:00+00:00,long,direction_mismatch,single_condition,14,2026-03-18 07:45:00,1,116.64,127.12,0.918,74059.750087,74151.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 07:50:00+00:00,short,direction_mismatch,single_condition,16,2026-03-18 07:50:00,1,-138.32,151.58,0.913,74061.940786,74153.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 12:30:00+00:00,short,3of3_fail,multi_condition,18,2026-03-18 12:30:00,1,-39.52,117.51,0.336,73627.795297,74137.0,,74061.940786,151.57600000000002,74153.0,,,,,,,
2026-03-18,CANDIDATE_GATE_REJECT,2026-03-18 12:31:00+00:00,short,imb_band,single_condition,20,2026-03-18 12:31:00,1,,,0.354,,,,,,,73222.0,73905.07506719521,74128.0,1.75,0.334,0.54,0.69
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 12:33:00+00:00,long,direction_mismatch,single_condition,22,2026-03-18 12:33:00,1,30.62,94.79,0.323,73179.16878,74115.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 13:11:00+00:00,short,direction_mismatch,single_condition,24,2026-03-18 13:11:00,1,-104.06,140.13,0.743,72687.590588,74033.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 15:30:00+00:00,long,direction_mismatch,single_condition,26,2026-03-18 15:30:00,1,34.04,133.21,0.256,71649.252887,73713.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 16:07:00+00:00,long,vwap_side,single_condition,28,2026-03-18 16:07:00,1,49.02,109.43,0.448,71391.770945,73480.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 19:08:00+00:00,long,vwap_side,single_condition,30,2026-03-18 19:08:00,1,53.33,74.3,0.718,71957.939759,73006.0,,,,,,,,,,,
2026-03-18,CANDIDATE_COMPARISON_REJECT,2026-03-18 19:55:00+00:00,short,direction_mismatch,single_condition,32,2026-03-18 19:55:00,1,-98.42,138.55,0.71,71195.32425,72911.0,,,,,,,,,,,
