ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side
2026-03-26 00:02:00,2026-03-26,DELTA_MAX,long,,100.35,108.9,0.921,71450.254966,71114.0,71460.0,2026-03-26 00:02:00,86326.9,2.391e-05,0.0,0.0,2026-03-26.jsonl,True,4478.4389999999985,309.6289999999981,-332.85099999999875,76.0,-72.89999999999418,336.25496599999315,336.25496599999315,above
2026-03-26 00:02:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,100.35,108.9,0.921,71450.254966,71114.0,,2026-03-26 00:02:00,86326.9,2.391e-05,0.0,0.0,2026-03-26.jsonl,True,4478.4389999999985,309.6289999999981,-332.85099999999875,76.0,-72.89999999999418,336.25496599999315,336.25496599999315,above
2026-03-26 01:20:00,2026-03-26,DELTA_MIN,short,,-43.37,48.5,0.894,71248.705407,71154.0,71460.0,2026-03-26 01:20:00,86416.07,9.08e-06,0.0,0.0,2026-03-26.jsonl,True,2913.231999999999,-149.68599999999924,-287.88799999999947,-84.09999999999127,-31.19999999999709,94.70540700000129,94.70540700000129,above
2026-03-26 01:20:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-43.37,48.5,0.894,71248.705407,71154.0,,2026-03-26 01:20:00,86416.07,9.08e-06,0.0,0.0,2026-03-26.jsonl,True,2913.231999999999,-149.68599999999924,-287.88799999999947,-84.09999999999127,-31.19999999999709,94.70540700000129,94.70540700000129,above
2026-03-26 04:45:00,2026-03-26,DELTA_MIN,short,,-67.05,79.54,0.843,70860.747461,71202.0,71390.0,2026-03-26 04:45:00,86834.14,6.31e-06,0.0,0.0,2026-03-26.jsonl,True,3083.311999999999,-633.0500000000006,-226.81700000000092,-28.69999999999709,-18.09999999999127,-341.2525389999937,341.2525389999937,below
2026-03-26 04:45:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-67.05,79.54,0.843,70860.747461,71202.0,,2026-03-26 04:45:00,86834.14,6.31e-06,0.0,0.0,2026-03-26.jsonl,True,3083.311999999999,-633.0500000000006,-226.81700000000092,-28.69999999999709,-18.09999999999127,-341.2525389999937,341.2525389999937,below
2026-03-26 06:10:00,2026-03-26,DELTA_MIN,short,,-92.78,110.81,0.837,70523.670667,71201.0,71390.0,2026-03-26 06:10:00,86324.39,1.154e-05,0.0,0.0,2026-03-26.jsonl,True,771.3469999999994,-2429.1050000000014,-1751.0229999999995,-15.0,-457.29999999998836,-677.3293330000015,677.3293330000015,below
2026-03-26 06:10:00,2026-03-26,CANDIDATE_GATE_REJECT,short,imb_band,,,0.837,,,,2026-03-26 06:10:00,86324.39,1.154e-05,0.0,0.0,2026-03-26.jsonl,True,771.3469999999994,-2429.1050000000014,-1751.0229999999995,-15.0,-457.29999999998836,,,at_or_unknown
2026-03-26 06:56:00,2026-03-26,DELTA_MIN,short,,-95.37,147.34,0.647,70021.252743,71174.0,71390.0,2026-03-26 06:56:00,86597.96,1.462e-05,0.003,0.0,2026-03-26.jsonl,True,1236.9689999999994,-2048.7120000000004,139.75999999999976,115.09999999999127,138.3000000000029,-1152.7472569999954,1152.7472569999954,below
2026-03-26 06:56:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,vwap_distance,-95.37,147.34,0.647,70021.252743,71174.0,,2026-03-26 06:56:00,86597.96,1.462e-05,0.003,0.0,2026-03-26.jsonl,True,1236.9689999999994,-2048.7120000000004,139.75999999999976,115.09999999999127,138.3000000000029,-1152.7472569999954,1152.7472569999954,below
2026-03-26 07:40:00,2026-03-26,DELTA_MAX,long,,88.71,106.23,0.835,70030.649112,71122.0,71390.0,2026-03-26 07:40:00,86634.6,1.348e-05,0.0,0.0,2026-03-26.jsonl,True,1297.9169999999986,-2180.0300000000007,94.0269999999989,7.100000000005821,27.69999999999709,-1091.3508880000009,1091.3508880000009,below
2026-03-26 07:40:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,88.71,106.23,0.835,70030.649112,71122.0,,2026-03-26 07:40:00,86634.6,1.348e-05,0.0,0.0,2026-03-26.jsonl,True,1297.9169999999986,-2180.0300000000007,94.0269999999989,7.100000000005821,27.69999999999709,-1091.3508880000009,1091.3508880000009,below
2026-03-26 14:09:00,2026-03-26,DELTA_MAX,long,,97.81,125.54,0.779,69534.590399,70665.0,71390.0,2026-03-26 14:09:00,87057.6,-5e-05,0.0,0.0,2026-03-26.jsonl,True,-1803.4330000000023,1096.5,1481.4260000000002,-206.8000000000029,144.0,-1130.4096010000067,1130.4096010000067,below
2026-03-26 14:09:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,vwap_side,97.81,125.54,0.779,69534.590399,70665.0,,2026-03-26 14:09:00,87057.6,-5e-05,0.0,0.0,2026-03-26.jsonl,True,-1803.4330000000023,1096.5,1481.4260000000002,-206.8000000000029,144.0,-1130.4096010000067,1130.4096010000067,below
2026-03-26 16:10:00,2026-03-26,DELTA_MIN,short,,-114.96,199.6,0.576,69101.875105,70413.0,71390.0,2026-03-26 16:10:00,86725.91,-1.594e-05,0.0,0.0,2026-03-26.jsonl,True,-3403.423000000004,-651.9219999999991,-1990.2449999999997,-190.3000000000029,-169.5,-1311.1248950000008,1311.1248950000008,below
2026-03-26 16:10:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-114.96,199.6,0.576,69101.875105,70413.0,,2026-03-26 16:10:00,86725.91,-1.594e-05,0.0,0.0,2026-03-26.jsonl,True,-3403.423000000004,-651.9219999999991,-1990.2449999999997,-190.3000000000029,-169.5,-1311.1248950000008,1311.1248950000008,below
2026-03-26 17:20:00,2026-03-26,DELTA_MAX,long,,89.55,117.95,0.759,69081.344222,70219.0,71390.0,2026-03-26 17:20:00,87036.24,1.982e-05,0.0,0.0,2026-03-26.jsonl,True,-4261.385000000002,-2015.5669999999986,83.55200000000036,13.5,-23.19999999999709,-1137.6557780000003,1137.6557780000003,below
2026-03-26 17:20:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,89.55,117.95,0.759,69081.344222,70219.0,,2026-03-26 17:20:00,87036.24,1.982e-05,0.0,0.0,2026-03-26.jsonl,True,-4261.385000000002,-2015.5669999999986,83.55200000000036,13.5,-23.19999999999709,-1137.6557780000003,1137.6557780000003,below
2026-03-26 18:50:00,2026-03-26,DELTA_MIN,short,,-116.27,160.23,0.726,68710.691473,70054.0,70920.0,2026-03-26 18:50:00,86590.69,3.444e-05,0.0,0.0,2026-03-26.jsonl,True,-6450.632000000001,-1220.738,-1310.7189999999998,153.09999999999127,-296.6000000000058,-1343.308527000001,1343.308527000001,below
2026-03-26 18:50:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-116.27,160.23,0.726,68710.691473,70054.0,,2026-03-26 18:50:00,86590.69,3.444e-05,0.0,0.0,2026-03-26.jsonl,True,-6450.632000000001,-1220.738,-1310.7189999999998,153.09999999999127,-296.6000000000058,-1343.308527000001,1343.308527000001,below
2026-03-26 21:12:00,2026-03-26,DELTA_MAX,long,,85.93,401.12,0.214,69054.624224,69772.0,69050.0,2026-03-26 21:12:00,87027.92,3.581e-05,0.0,0.0,2026-03-26.jsonl,True,-5923.429999999999,969.2730000000004,1435.0380000000002,-79.39999999999418,-459.59999999999127,-717.3757760000008,717.3757760000008,below
2026-03-26 21:12:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,85.93,401.12,0.214,69054.624224,69772.0,,2026-03-26 21:12:00,87027.92,3.581e-05,0.0,0.0,2026-03-26.jsonl,True,-5923.429999999999,969.2730000000004,1435.0380000000002,-79.39999999999418,-459.59999999999127,-717.3757760000008,717.3757760000008,below
2026-03-26 21:17:00,2026-03-26,DELTA_MAX,long,,99.8,142.14,0.702,69256.688971,69759.0,69050.0,2026-03-26 21:17:00,86969.35,3.713e-05,0.0,0.0,2026-03-26.jsonl,True,-6138.530999999999,538.844000000001,-294.0309999999997,-67.0,-350.1999999999971,-502.31102900000405,502.31102900000405,below
2026-03-26 21:17:00,2026-03-26,CANDIDATE_COMPARISON_REJECT,long,vwap_side,99.8,142.14,0.702,69256.688971,69759.0,,2026-03-26 21:17:00,86969.35,3.713e-05,0.0,0.0,2026-03-26.jsonl,True,-6138.530999999999,538.844000000001,-294.0309999999997,-67.0,-350.1999999999971,-502.31102900000405,502.31102900000405,below
2026-03-26 21:55:00,2026-03-26,DELTA_MIN,short,,-84.65,110.37,0.767,68923.168027,69720.0,69050.0,2026-03-26 21:55:00,87319.22,3.71e-05,0.0,0.0,2026-03-26.jsonl,True,-6402.093,419.25199999999995,-492.5150000000003,-61.5,-56.40000000000873,-796.831972999993,796.831972999993,below
