source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap,price_now,ema50_now,vwap_now,chop30,coh10,imb_min,imb_max
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 00:02:00+00:00,long,3of3_fail,multi_condition,200,2026-03-26 00:02:00,1,100.35,108.9,0.921,71450.254966,71114.0,,71451.538338,118.17536000000001,71100.0,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 01:20:00+00:00,short,direction_mismatch,single_condition,202,2026-03-26 01:20:00,1,-43.37,48.5,0.894,71248.705407,71154.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 04:45:00+00:00,short,3of3_fail,multi_condition,204,2026-03-26 04:45:00,1,-67.05,79.54,0.843,70860.747461,71202.0,,71248.705407,48.498650000000005,71154.0,,,,,,,
2026-03-26,CANDIDATE_GATE_REJECT,2026-03-26 06:10:00+00:00,short,imb_band,single_condition,206,2026-03-26 06:10:00,1,,,0.837,,,,,,,70556.0,70774.25635989489,71201.0,1.96,0.457,0.54,0.69
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 06:56:00+00:00,short,vwap_distance,single_condition,208,2026-03-26 06:56:00,1,-95.37,147.34,0.647,70021.252743,71174.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 07:40:00+00:00,long,direction_mismatch,single_condition,210,2026-03-26 07:40:00,1,88.71,106.23,0.835,70030.649112,71122.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 14:09:00+00:00,long,vwap_side,single_condition,212,2026-03-26 14:09:00,1,97.81,125.54,0.779,69534.590399,70665.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 16:10:00+00:00,short,direction_mismatch,single_condition,214,2026-03-26 16:10:00,1,-114.96,199.6,0.576,69101.875105,70413.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 17:20:00+00:00,long,direction_mismatch,single_condition,216,2026-03-26 17:20:00,1,89.55,117.95,0.759,69081.344222,70219.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 18:50:00+00:00,short,direction_mismatch,single_condition,218,2026-03-26 18:50:00,1,-116.27,160.23,0.726,68710.691473,70054.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 21:12:00+00:00,long,direction_mismatch,single_condition,220,2026-03-26 21:12:00,1,85.93,401.12,0.214,69054.624224,69772.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 21:17:00+00:00,long,vwap_side,single_condition,222,2026-03-26 21:17:00,1,99.8,142.14,0.702,69256.688971,69759.0,,,,,,,,,,,
2026-03-26,CANDIDATE_COMPARISON_REJECT,2026-03-26 21:55:00+00:00,short,direction_mismatch,single_condition,224,2026-03-26 21:55:00,1,-84.65,110.37,0.767,68923.168027,69720.0,,,,,,,,,,,
