source_date,event,event_ts,kind,reject_reason,reject_class,seq,ts,schema,delta,vol,imb,price,vwap,poc,prev_price,prev_vol,prev_vwap,price_now,ema50_now,vwap_now,chop30,coh10,imb_min,imb_max
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 01:09:00+00:00,short,direction_mismatch,single_condition,382,2026-03-31 01:09:00,1,-23.5,29.06,0.809,66470.18393,67060.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 01:46:00+00:00,short,3of3_fail,multi_condition,384,2026-03-31 01:46:00,1,-26.24,31.12,0.843,66753.855597,67145.0,,66470.18393,29.06471,67060.0,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 02:05:00+00:00,long,direction_mismatch,single_condition,386,2026-03-31 02:05:00,1,61.98,64.04,0.968,66777.849779,67223.0,,,,,,,,,,,
2026-03-31,CANDIDATE_GATE_REJECT,2026-03-31 03:34:00+00:00,long,imb_band,single_condition,388,2026-03-31 03:34:00,1,,,0.518,,,,,,,68150.0,67384.63503393442,67310.0,1.42,0.384,0.54,0.69
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 03:36:00+00:00,short,direction_mismatch,single_condition,390,2026-03-31 03:36:00,1,-29.67,71.74,0.414,68239.315354,67323.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 05:40:00+00:00,short,vwap_side,single_condition,392,2026-03-31 05:40:00,1,-56.09,87.07,0.644,67683.031461,67423.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 06:10:00+00:00,short,vwap_side,single_condition,394,2026-03-31 06:10:00,1,-79.89,123.58,0.646,67686.800418,67439.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 06:21:00+00:00,long,direction_mismatch,single_condition,396,2026-03-31 06:21:00,1,112.09,137.97,0.812,67882.100949,67447.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 06:28:00+00:00,short,direction_mismatch,single_condition,398,2026-03-31 06:28:00,1,-108.23,157.26,0.688,67520.849583,67449.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 06:45:00+00:00,short,vwap_side,single_condition,400,2026-03-31 06:45:00,1,-119.82,130.67,0.917,67601.632399,67453.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 09:31:00+00:00,long,direction_mismatch,single_condition,402,2026-03-31 09:31:00,1,73.07,99.93,0.731,67352.842875,67451.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 10:03:00+00:00,short,direction_mismatch,single_condition,404,2026-03-31 10:03:00,1,-107.66,121.4,0.887,67250.070769,67447.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 13:19:00+00:00,long,direction_mismatch,single_condition,406,2026-03-31 13:19:00,1,102.19,171.71,0.595,66874.105621,67259.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 16:04:00+00:00,short,direction_mismatch,single_condition,408,2026-03-31 16:04:00,1,-35.15,71.65,0.49,67346.832821,67187.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 16:06:00+00:00,short,vwap_side,single_condition,410,2026-03-31 16:06:00,1,-37.05,43.83,0.845,67209.199636,67186.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 16:19:00+00:00,long,direction_mismatch,single_condition,412,2026-03-31 16:19:00,1,50.58,87.8,0.576,67669.336362,67186.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 16:33:00+00:00,short,direction_mismatch,single_condition,414,2026-03-31 16:33:00,1,-40.66,50.33,0.808,67595.950217,67167.0,,,,,,,,,,,
2026-03-31,CANDIDATE_GATE_REJECT,2026-03-31 16:52:00+00:00,short,imb_band,single_condition,416,2026-03-31 16:52:00,1,,,0.421,,,,,,,66555.0,67267.38876954131,67153.0,1.59,0.333,0.54,0.69
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 19:12:00+00:00,long,direction_mismatch,single_condition,418,2026-03-31 19:12:00,1,72.38,123.77,0.585,68034.926567,67130.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 19:15:00+00:00,long,vwap_distance,single_condition,420,2026-03-31 19:15:00,1,76.44,206.65,0.37,68371.945562,67151.0,,,,,,,,,,,
2026-03-31,CANDIDATE_COMPARISON_REJECT,2026-03-31 22:08:00+00:00,long,3of3_fail,multi_condition,422,2026-03-31 22:08:00,1,79.09,112.39,0.704,68054.680442,67253.0,,68371.945562,206.65269999999998,67151.0,,,,,,,
