date,reject_reason,kind,count,cum_delta_60m_mean,cum_delta_60m_median,cum_delta_180m_mean,cum_delta_180m_median,ret_15m_mean,ret_15m_median,ret_60m_mean,ret_60m_median,dist_vwap_mean,dist_vwap_median,abs_dist_vwap_mean,abs_dist_vwap_median,price_vs_vwap_side_mode,price_vs_vwap_side_mode_count
2026-03-30,3of3_fail,long,2,899.708,899.708,195.134,195.134,-6.65,-6.65,57,57,311.476,311.476,311.476,311.476,above,2
2026-03-30,direction_mismatch,long,5,428.142,702.124,-708.347,-455.168,-60.72,-11.2,61.2,111.8,382.002,775.958,850.899,956.469,above,4
2026-03-30,direction_mismatch,short,5,144.588,186.237,-837.946,-217.502,-128.52,-121.4,127.82,-13.5,666.734,934.714,820.077,934.714,above,4
2026-03-30,imb_band,short,1,682.353,682.353,-3315.53,-3315.53,-514,-514,331.5,331.5,,,,,at_or_unknown,1
2026-03-30,vwap_distance,long,2,19.0895,19.0895,641.516,641.516,-34.3,-34.3,-154.95,-154.95,1193.99,1193.99,1193.99,1193.99,above,2
2026-03-30,vwap_distance,short,1,698.553,698.553,-3140.74,-3140.74,-293.2,-293.2,248.8,248.8,-1239.69,-1239.69,1239.69,1239.69,below,1
2026-03-30,vwap_side,long,3,417.036,422.204,-959.821,313.4,-66.2333,-24.1,-79,-226.6,-290.029,-354.582,290.029,354.582,below,3
2026-03-30,vwap_side,short,3,95.3447,44.996,-763.465,-920.565,-59.5333,-165.2,-200.267,-188.5,648.109,602.729,648.109,602.729,above,3
