source_date,ts,delta,abs_delta,price,rolling_max,rolling_min,threshold_abs_delta,is_owner_max,is_owner_min,Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic
2026-03-30,2026-03-30 00:21:00+00:00,294.0869999999999,294.0869999999999,66953.4,861.5110000000002,-79.49799999999999,108.0975,False,False,2026-03-30 00:21:00,66873.4,67043.2,66729.4,66953.4,2151.171,19426,1222.629,928.542,66884.8,93442.17,-1.39e-06,0.936,0.681,0
2026-03-30,2026-03-30 00:31:00+00:00,152.73900000000003,152.73900000000003,66617.5,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 00:31:00,66537.4,66708.7,66530.2,66617.5,418.629,5119,285.684,132.945,66611.82,93258.76,-2.06e-06,0.007,0.117,0
2026-03-30,2026-03-30 00:34:00+00:00,-109.01700000000001,109.01700000000001,66480.8,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 00:34:00,66628.8,66628.9,66480.8,66480.8,246.333,2569,68.658,177.675,66524.32,93248.24,-4.19e-06,0.0,0.002,0
2026-03-30,2026-03-30 00:44:00+00:00,110.03399999999999,110.03399999999999,66271.2,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 00:44:00,66224.7,66299.6,66211.2,66271.2,192.452,2363,151.243,41.209,66257.8,93200.75,-8.65e-06,0.0,0.0,0
2026-03-30,2026-03-30 00:52:00+00:00,-122.177,122.177,66145.3,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 00:52:00,66250.7,66250.8,66072.4,66145.3,299.109,4152,88.466,210.643,66152.3,93224.04,-8.57e-06,0.0,0.053,0
2026-03-30,2026-03-30 00:59:00+00:00,-179.59299999999996,179.59299999999996,66255.8,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 00:59:00,66283.8,66328.3,66249.2,66255.8,337.193,2489,78.8,258.393,66295.08,93176.64,-9.83e-06,0.453,0.0,0
2026-03-30,2026-03-30 01:17:00+00:00,-115.45499999999998,115.45499999999998,66433.4,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 01:17:00,66333.0,66460.9,66333.0,66433.4,453.893,2431,169.219,284.674,66412.86,93043.33,-7.74e-06,0.0,0.0,0
2026-03-30,2026-03-30 01:29:00+00:00,191.87099999999998,191.87099999999998,66586.0,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 01:29:00,66528.0,66634.8,66516.8,66586.0,362.793,3133,277.332,85.461,66586.6,93081.79,-7.28e-06,0.039,0.063,0
2026-03-30,2026-03-30 01:32:00+00:00,144.043,144.043,66645.7,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 01:32:00,66549.7,66666.0,66549.7,66645.7,227.699,2020,185.871,41.828,66635.47,93027.6,-7.7e-06,0.246,0.0,0
2026-03-30,2026-03-30 01:35:00+00:00,203.59900000000002,203.59900000000002,66669.0,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 01:35:00,66565.7,66698.0,66565.7,66669.0,267.859,2140,235.729,32.13,66651.73,92974.53,-7.37e-06,0.002,0.0,0
2026-03-30,2026-03-30 01:48:00+00:00,291.882,291.882,66761.9,861.5110000000002,-184.38600000000002,108.0975,False,False,2026-03-30 01:48:00,66695.9,66792.9,66695.9,66761.9,506.776,3772,399.329,107.447,66745.34,92735.93,-9.31e-06,0.009,0.0,0
