date,reject_reason,kind,count,cum_delta_60m_mean,cum_delta_60m_median,cum_delta_180m_mean,cum_delta_180m_median,ret_15m_mean,ret_15m_median,ret_60m_mean,ret_60m_median,dist_vwap_mean,dist_vwap_median,abs_dist_vwap_mean,abs_dist_vwap_median,price_vs_vwap_side_mode,price_vs_vwap_side_mode_count
2026-03-28,3of3_fail,long,1,864.31,864.31,2209.22,2209.22,-2.3,-2.3,-170.7,-170.7,799.234,799.234,799.234,799.234,above,1
2026-03-28,3of3_fail,short,1,-672.919,-672.919,-435.985,-435.985,-65.8,-65.8,-231.7,-231.7,-747.811,-747.811,747.811,747.811,below,1
2026-03-28,direction_mismatch,long,4,-219.249,-116.307,-358.828,-363.071,10.9,11.55,-59.85,-78.9,-195.618,-179.136,514.096,497.614,above,2
2026-03-28,direction_mismatch,short,4,-202.859,-174.205,727.245,-20.714,-3.65,19.4,-31.075,-26.35,-140.576,-370.412,620.446,730.153,below,3
2026-03-28,ema50_vwap_regime,long,1,-736.151,-736.151,-734.942,-734.942,148.4,148.4,-68.3,-68.3,,,,,at_or_unknown,1
2026-03-28,vwap_side,long,2,-214.49,-214.49,-54.3515,-54.3515,-96.1,-96.1,-85.7,-85.7,-139.239,-139.239,139.239,139.239,below,2
2026-03-28,vwap_side,short,2,-335.634,-335.634,-414.809,-414.809,-77.55,-77.55,-128.9,-128.9,508.194,508.194,508.194,508.194,above,2
