Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic
2026-03-30 00:00:00,65985.50,65985.50,65956.70,65977.80,46.187000,747,27.962000,18.225000,65969.77,94213.37,0.00000391,0.000000,0.000000,0
2026-03-30 00:01:00,65977.90,66053.90,65977.90,66023.30,177.438000,3199,101.215000,76.223000,66019.90,94201.59,0.00000300,0.000000,0.000000,0
2026-03-30 00:02:00,66023.40,66027.40,65916.40,65935.00,89.193000,1737,37.204000,51.989000,65954.31,94205.26,0.00000261,0.000000,0.000000,0
2026-03-30 00:03:00,65935.00,65950.00,65859.20,65871.90,146.924000,1988,33.713000,113.211000,65905.52,94234.30,0.00000137,0.000000,0.000000,0
2026-03-30 00:04:00,65872.00,65893.40,65856.80,65886.10,120.069000,1662,43.676000,76.393000,65874.72,94257.40,0.00000137,0.000000,0.000000,0
2026-03-30 00:05:00,65885.90,65885.90,65828.80,65828.80,105.449000,1153,30.555000,74.894000,65857.91,94235.51,0.00000037,0.000000,0.092000,0
2026-03-30 00:06:00,65828.90,65828.90,65762.80,65827.10,353.027000,3312,145.793000,207.234000,65786.45,94254.73,-0.00000012,0.000000,1.456000,0
2026-03-30 00:07:00,65827.20,65887.10,65817.20,65841.90,101.742000,1770,60.545000,41.197000,65850.27,94294.59,-0.00000012,0.000000,0.000000,0
2026-03-30 00:08:00,65841.90,65914.20,65822.10,65909.50,44.936000,1282,29.404000,15.532000,65877.35,94300.59,-0.00000106,0.000000,0.000000,0
2026-03-30 00:09:00,65909.60,65977.80,65839.80,65843.40,106.770000,2092,48.589000,58.181000,65928.90,94294.91,-0.00000049,1.461000,0.000000,0
2026-03-30 00:10:00,65843.30,65884.20,65806.60,65841.20,138.500000,2284,54.922000,83.578000,65841.54,94285.48,-0.00000049,0.000000,0.000000,0
2026-03-30 00:11:00,65841.20,65880.10,65827.60,65880.10,51.374000,1407,33.852000,17.522000,65843.20,94276.05,0.00000035,0.000000,0.000000,0
2026-03-30 00:12:00,65880.10,65880.10,65843.60,65845.40,66.095000,1304,23.852000,42.243000,65857.45,94283.44,-0.00000007,0.000000,0.000000,0
2026-03-30 00:13:00,65845.40,65856.10,65806.50,65814.00,63.417000,1248,28.613000,34.804000,65836.55,94279.30,-0.00000022,0.000000,0.000000,0
2026-03-30 00:14:00,65813.90,65854.10,65810.40,65854.10,45.599000,799,16.316000,29.283000,65824.43,94289.35,-0.00000022,0.000000,0.000000,0
2026-03-30 00:15:00,65854.00,65894.00,65812.40,65816.80,58.582000,1140,20.749000,37.833000,65862.52,94301.40,-0.00000088,0.000000,0.000000,0
2026-03-30 00:16:00,65816.70,65844.70,65783.70,65795.40,134.103000,1700,35.273000,98.830000,65802.69,94330.58,-0.00000076,0.000000,0.000000,0
2026-03-30 00:17:00,65795.50,65812.60,65754.20,65764.10,143.113000,1597,61.503000,81.610000,65778.79,94338.68,-0.00000076,0.000000,0.003000,0
2026-03-30 00:18:00,65764.00,65995.20,65764.00,65964.50,211.923000,3324,134.385000,77.538000,65876.95,94337.47,-0.00000152,0.017000,0.007000,0
2026-03-30 00:19:00,65964.50,66176.00,65939.30,66176.00,465.287000,6023,325.915000,139.372000,66072.36,94334.45,-0.00000243,8.275000,0.000000,0
2026-03-30 00:20:00,66176.00,66900.00,66155.60,66873.30,3126.693000,20548,1994.102000,1132.591000,66557.24,94168.63,-0.00000139,5.237000,0.000000,0
2026-03-30 00:21:00,66873.40,67043.20,66729.40,66953.40,2151.171000,19426,1222.629000,928.542000,66884.80,93442.17,-0.00000139,0.936000,0.681000,0
2026-03-30 00:22:00,66953.50,66984.70,66666.70,66706.10,767.892000,9192,291.753000,476.139000,66814.20,93387.74,0.00000080,0.006000,0.176000,0
2026-03-30 00:23:00,66706.00,66830.70,66659.90,66735.50,524.930000,6142,275.551000,249.379000,66738.46,93416.46,0.00000099,0.003000,0.014000,0
2026-03-30 00:24:00,66735.40,66743.60,66581.20,66612.60,448.509000,4769,198.217000,250.292000,66638.63,93425.52,0.00000099,0.000000,0.000000,0
2026-03-30 00:25:00,66612.70,66646.20,66563.80,66567.70,263.348000,3153,136.616000,126.732000,66603.21,93392.89,0.00000061,0.000000,0.013000,0
2026-03-30 00:26:00,66567.70,66611.70,66491.60,66540.00,262.614000,4072,102.711000,159.903000,66542.57,93389.43,-0.00000054,0.000000,0.129000,0
2026-03-30 00:27:00,66540.10,66721.50,66528.20,66721.50,264.939000,4116,161.355000,103.584000,66611.53,93378.47,-0.00000244,0.000000,0.000000,0
2026-03-30 00:28:00,66721.70,66825.00,66644.50,66692.40,377.229000,5828,201.988000,175.241000,66748.25,93348.33,-0.00000244,0.260000,0.000000,0
2026-03-30 00:29:00,66691.30,66746.60,66603.80,66613.80,216.879000,3489,82.853000,134.026000,66665.82,93362.32,-0.00000226,0.000000,0.000000,0
2026-03-30 00:30:00,66613.80,66629.60,66537.40,66537.50,212.082000,2513,68.442000,143.640000,66562.13,93330.05,-0.00000206,0.000000,0.013000,0
2026-03-30 00:31:00,66537.40,66708.70,66530.20,66617.50,418.629000,5119,285.684000,132.945000,66611.82,93258.76,-0.00000206,0.007000,0.117000,0
2026-03-30 00:32:00,66617.60,66660.90,66576.90,66611.90,124.128000,3018,61.522000,62.606000,66610.96,93231.99,-0.00000390,0.000000,0.000000,0
2026-03-30 00:33:00,66611.80,66686.30,66598.70,66628.90,147.367000,2857,80.354000,67.013000,66647.90,93261.54,-0.00000362,0.014000,0.000000,0
2026-03-30 00:34:00,66628.80,66628.90,66480.80,66480.80,246.333000,2569,68.658000,177.675000,66524.32,93248.24,-0.00000419,0.000000,0.002000,0
2026-03-30 00:35:00,66480.80,66483.90,66426.20,66470.40,259.931000,2815,94.011000,165.920000,66454.59,93177.15,-0.00000419,0.000000,0.050000,0
2026-03-30 00:36:00,66470.30,66480.00,66366.00,66469.40,239.685000,2992,112.458000,127.227000,66419.43,93199.55,-0.00000623,0.000000,0.052000,0
2026-03-30 00:37:00,66469.40,66531.00,66449.70,66493.00,175.928000,2992,98.282000,77.646000,66492.64,93165.06,-0.00000726,0.000000,0.000000,0
2026-03-30 00:38:00,66492.80,66510.70,66328.60,66338.80,195.415000,2679,75.840000,119.575000,66379.93,93156.40,-0.00000726,0.000000,0.050000,0
2026-03-30 00:39:00,66338.10,66385.20,66238.20,66298.40,333.740000,4632,119.372000,214.368000,66309.03,93101.45,-0.00000672,0.000000,0.081000,0
2026-03-30 00:40:00,66298.50,66336.40,66209.40,66265.00,318.384000,3691,176.707000,141.677000,66251.99,93113.56,-0.00000758,0.000000,1.125000,0
2026-03-30 00:41:00,66265.30,66300.00,66209.30,66291.20,155.000000,2537,70.087000,84.913000,66256.94,93069.77,-0.00000797,0.000000,0.012000,0
2026-03-30 00:42:00,66291.30,66307.00,66152.50,66207.50,302.539000,3702,152.923000,149.616000,66189.89,93071.32,-0.00000797,0.000000,4.527000,0
2026-03-30 00:43:00,66207.40,66260.20,66190.30,66224.70,188.285000,2522,118.305000,69.980000,66220.76,93162.18,-0.00000779,0.000000,0.000000,0
2026-03-30 00:44:00,66224.70,66299.60,66211.20,66271.20,192.452000,2363,151.243000,41.209000,66257.80,93200.75,-0.00000865,0.000000,0.000000,0
2026-03-30 00:45:00,66271.10,66308.90,66245.00,66299.90,81.326000,1458,43.529000,37.797000,66287.86,93211.06,-0.00000865,0.000000,0.000000,0
2026-03-30 00:46:00,66300.00,66328.20,66260.60,66324.30,86.666000,1847,49.747000,36.919000,66296.98,93213.87,-0.00000841,0.000000,0.000000,0
2026-03-30 00:47:00,66324.40,66389.90,66324.30,66367.20,156.624000,2668,104.415000,52.209000,66367.65,93219.38,-0.00000760,0.000000,0.000000,0
2026-03-30 00:48:00,66367.20,66367.20,66284.30,66286.80,63.026000,1434,26.040000,36.986000,66321.56,93219.22,-0.00000673,0.000000,0.000000,0
2026-03-30 00:49:00,66286.90,66340.80,66273.00,66324.60,58.104000,1432,43.487000,14.617000,66305.76,93229.72,-0.00000673,0.000000,0.000000,0
2026-03-30 00:50:00,66324.60,66331.40,66280.00,66295.20,65.309000,1279,35.166000,30.143000,66309.24,93226.88,-0.00000806,0.000000,0.000000,0
2026-03-30 00:51:00,66294.90,66314.50,66237.70,66250.70,59.920000,1742,31.846000,28.074000,66270.03,93232.14,-0.00000857,0.000000,0.000000,0
2026-03-30 00:52:00,66250.70,66250.80,66072.40,66145.30,299.109000,4152,88.466000,210.643000,66152.30,93224.04,-0.00000857,0.000000,0.053000,0
2026-03-30 00:53:00,66145.40,66183.60,66111.90,66156.80,176.334000,2742,97.528000,78.806000,66142.12,93251.60,-0.00000934,0.000000,0.000000,0
2026-03-30 00:54:00,66156.90,66187.70,66124.20,66133.20,92.419000,1653,57.484000,34.935000,66159.03,93262.42,-0.00001024,0.000000,0.000000,0
2026-03-30 00:55:00,66133.20,66171.20,66123.00,66153.10,78.387000,2002,42.837000,35.550000,66148.75,93270.33,-0.00001024,0.000000,0.000000,0
2026-03-30 00:56:00,66153.20,66176.60,66136.00,66148.90,51.854000,1269,26.583000,25.271000,66147.51,93279.19,-0.00001009,0.000000,0.000000,0
2026-03-30 00:57:00,66148.90,66220.00,66124.30,66174.60,122.991000,2238,74.994000,47.997000,66181.22,93263.59,-0.00001002,0.000000,0.000000,0
2026-03-30 00:58:00,66174.60,66290.90,66160.20,66284.00,149.150000,2597,113.993000,35.157000,66236.50,93279.10,-0.00000983,0.000000,0.000000,0
2026-03-30 00:59:00,66283.80,66328.30,66249.20,66255.80,337.193000,2489,78.800000,258.393000,66295.08,93176.64,-0.00000983,0.453000,0.000000,0
2026-03-30 01:00:00,66255.50,66280.50,66239.50,66241.40,124.677000,1471,45.208000,79.469000,66256.41,93154.87,-0.00000845,0.000000,0.000000,0
2026-03-30 01:01:00,66241.40,66328.30,66241.40,66300.20,226.019000,2805,84.625000,141.394000,66301.25,93150.26,-0.00000822,0.000000,0.000000,0
2026-03-30 01:02:00,66300.10,66432.00,66286.90,66410.30,175.170000,3368,127.007000,48.163000,66373.61,93160.39,-0.00000822,0.121000,0.000000,0
2026-03-30 01:03:00,66410.10,66443.90,66379.10,66430.00,132.684000,2670,94.649000,38.035000,66418.85,93165.28,-0.00000820,0.113000,0.000000,0
2026-03-30 01:04:00,66429.90,66495.10,66394.60,66476.40,191.101000,2467,127.785000,63.316000,66439.39,93158.81,-0.00000722,0.040000,0.000000,0
