target_ts,session_date,ts,minutes_from_target,is_target_case,event_type,kind,reject_reason,interesting_reject_bucket,rule_id,price,price_vs_vwap_side,cum_delta_60m,cum_delta_180m,ret_15m,ret_60m,same_side_as_target,later_same_side_event_in_window,later_same_side_accepted_in_window,later_same_side_stronger_reject_in_window
2026-03-22 18:45:00,2026-03-22,2026-03-22 18:38:00,-7,no,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,unclear_but_constructive,IR_F1,68727.026117,below,-487.77099999999973,-708.4830000000047,-217.40000000000873,-233.90000000000873,yes,yes,no,no
2026-03-22 18:45:00,2026-03-22,2026-03-22 18:45:00,0,yes,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,68676.897882,below,-354.2450000000008,-548.2100000000055,-229.60000000000582,-208.70000000001164,yes,yes,no,no
2026-03-22 18:45:00,2026-03-22,2026-03-22 20:15:00,90,no,CANDIDATE_GATE_REJECT,short,imb_band,,,,at_or_unknown,142.5580000000009,-417.3989999999976,129.09999999999127,1.8000000000029104,yes,yes,no,no
2026-03-23 03:36:00,2026-03-23,2026-03-23 03:36:00,0,yes,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,68242.56697,below,-123.6939999999995,302.64400000000023,-60.39999999999418,-67.29999999998836,yes,yes,no,yes
2026-03-23 03:36:00,2026-03-23,2026-03-23 04:31:00,55,no,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,unclear_but_constructive,IR_F1,68165.64639,below,-241.64099999999894,4.782000000001062,81.40000000000873,62.60000000000582,yes,yes,no,yes
2026-03-24 14:09:00,2026-03-24,2026-03-24 13:49:00,-20,no,CANDIDATE_COMPARISON_REJECT,short,vwap_side,possible_reversal_confirmation,IR_B1,70894.667935,above,-1614.1939999999977,-1477.5549999999967,-464.70000000001164,-620.2000000000116,yes,yes,no,no
2026-03-24 14:09:00,2026-03-24,2026-03-24 14:09:00,0,yes,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,70816.640317,below,-2169.3259999999955,-1821.612999999992,222.1999999999971,-462.8999999999942,yes,yes,no,no
2026-03-24 14:09:00,2026-03-24,2026-03-24 14:45:00,36,no,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,70305.690792,below,-1334.0639999999985,-2580.497999999994,-152.09999999999127,-466.8999999999942,yes,yes,no,no
2026-03-24 14:09:00,2026-03-24,2026-03-24 15:35:00,86,no,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,unclear_but_constructive,IR_F1,70109.758917,below,271.35899999999856,-1953.7299999999968,-46.39999999999418,-213.89999999999418,no,yes,no,no
2026-03-24 14:45:00,2026-03-24,2026-03-24 13:49:00,-56,no,CANDIDATE_COMPARISON_REJECT,short,vwap_side,possible_reversal_confirmation,IR_B1,70894.667935,above,-1614.1939999999977,-1477.5549999999967,-464.70000000001164,-620.2000000000116,yes,no,no,no
2026-03-24 14:45:00,2026-03-24,2026-03-24 14:09:00,-36,no,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,70816.640317,below,-2169.3259999999955,-1821.612999999992,222.1999999999971,-462.8999999999942,yes,no,no,no
2026-03-24 14:45:00,2026-03-24,2026-03-24 14:45:00,0,yes,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,70305.690792,below,-1334.0639999999985,-2580.497999999994,-152.09999999999127,-466.8999999999942,yes,no,no,no
2026-03-24 14:45:00,2026-03-24,2026-03-24 15:35:00,50,no,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,unclear_but_constructive,IR_F1,70109.758917,below,271.35899999999856,-1953.7299999999968,-46.39999999999418,-213.89999999999418,no,no,no,no
2026-03-24 14:45:00,2026-03-24,2026-03-24 16:02:00,77,no,CANDIDATE_COMPARISON_REJECT,long,vwap_side,possible_trap_or_false_break,IR_E1,69984.95155,below,407.4969999999994,-1837.922999999998,-205.60000000000582,-200.8000000000029,no,no,no,no
2026-03-27 03:35:00,2026-03-27,2026-03-27 02:10:00,-85,no,CANDIDATE_COMPARISON_REJECT,long,vwap_side,possible_trap_or_false_break,IR_E1,68764.731743,below,390.17999999999665,-89.77700000000459,154.60000000000582,315.90000000000873,no,no,no,no
2026-03-27 03:35:00,2026-03-27,2026-03-27 03:25:00,-10,no,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,unclear_but_constructive,IR_F1,69010.084016,below,-93.98299999999836,219.81399999999303,28.0,-251.60000000000582,yes,no,no,no
2026-03-27 03:35:00,2026-03-27,2026-03-27 03:35:00,0,yes,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,possible_continuation_pressure,IR_C2,69021.242714,below,-124.84099999999944,279.1719999999923,38.70000000001164,-170.09999999999127,yes,no,no,no
